# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -1.667755927784e+00      -1.250817054548e+00      -1.250817054598e+00      -1.250398129739e-01      -1.667755922265e+00      -1.262843335696e+00      -1.251184505167e+00      -1.080431151539e+00       5.832236498922e-01       5.828898656299e-01       9.769879457738e-08       9.774721687510e-08       9.774722991857e-08       9.774717914709e-08       9.769719021293e-08       9.774212975167e-08       9.774592083398e-08       9.774718516892e-08 
       1.341130231029e-05      -1.668072846717e+00      -1.251054907845e+00      -1.251054907904e+00      -1.250493214747e-01      -1.668072832434e+00      -1.263083443313e+00      -1.251422426379e+00      -1.080634442723e+00       5.832395100116e-01       5.829057859558e-01       1.548055281655e-07       1.549214696102e-07       1.549214807929e-07       1.549213571087e-07       1.548014677808e-07       1.549100187668e-07       1.549194326335e-07       1.549213810760e-07 
       1.688382928368e-05      -1.668668113365e+00      -1.251501769924e+00      -1.251501770008e+00      -1.250617438560e-01      -1.668668077275e+00      -1.263534519976e+00      -1.251869414128e+00      -1.081015546589e+00       5.832413503844e-01       5.829077227001e-01       2.452459750963e-07       2.455352564415e-07       2.455352741898e-07       2.455349371777e-07       2.452357619032e-07       2.455079626046e-07       2.455316096630e-07       2.455350325531e-07 
       2.125548173362e-05      -1.669642493062e+00      -1.252233643819e+00      -1.252233644071e+00      -1.250796114387e-01      -1.669642399267e+00      -1.264273207952e+00      -1.252601485259e+00      -1.081639345561e+00       5.832363816665e-01       5.829029190870e-01       3.884046409871e-07       3.891447918888e-07       3.891448485788e-07       3.891438568611e-07       3.883783837657e-07       3.890768638133e-07       3.891378510875e-07       3.891442363001e-07 
       2.675906609438e-05      -1.671126429873e+00      -1.253349328680e+00      -1.253349329361e+00      -1.251097648971e-01      -1.671126190233e+00      -1.265399056056e+00      -1.253717453437e+00      -1.082590722055e+00       5.832432611198e-01       5.829100546130e-01       6.148954725175e-07       6.167564866712e-07       6.167566251596e-07       6.167535853380e-07       6.148288805209e-07       6.165888301283e-07       6.167432964555e-07       6.167550943107e-07 
       3.368766830209e-05      -1.673574036696e+00      -1.255191974453e+00      -1.255191976286e+00      -1.251544529860e-01      -1.673573427862e+00      -1.267257979474e+00      -1.255560521427e+00      -1.084161219919e+00       5.832293528797e-01       5.828965573887e-01       9.727639343590e-07       9.774796238975e-07       9.774799862699e-07       9.774700908075e-07       9.725954149974e-07       9.770591440702e-07       9.774511375332e-07       9.774760879273e-07 
       4.241026168960e-05      -1.677358753796e+00      -1.258047901670e+00      -1.258047906445e+00      -1.252271567210e-01      -1.677357218216e+00      -1.270137753619e+00      -1.258416991735e+00      -1.086595860969e+00       5.832287992846e-01       5.828966478490e-01       1.537353021161e-06       1.549196975913e-06       1.549197898788e-06       1.549164182086e-06       1.536929119698e-06       1.548148744847e-06       1.549135793313e-06       1.549187993276e-06 
       5.339135616187e-05      -1.683368508490e+00      -1.262599169082e+00      -1.262599181499e+00      -1.253398061030e-01      -1.683364629668e+00      -1.274723590382e+00      -1.262968827443e+00      -1.090475255971e+00       5.832195718700e-01       5.828884484348e-01       2.425485419936e-06       2.455279117371e-06       2.455281454065e-06       2.455161585619e-06       2.424418464456e-06       2.452650204981e-06       2.455139974439e-06       2.455255978543e-06 
       6.721573504233e-05      -1.692848351583e+00      -1.269819200776e+00      -1.269819232546e+00      -1.255145935889e-01      -1.692838611300e+00      -1.281990002120e+00      -1.270189048774e+00      -1.096628825855e+00       5.832026301085e-01       5.828731253024e-01       3.816498930881e-06       3.891264796708e-06       3.891270755408e-06       3.890831193331e-06       3.813826017955e-06       3.884678121161e-06       3.890938280521e-06       3.891204467545e-06 
       8.461959691722e-05      -1.707718557487e+00      -1.281247084716e+00      -1.281247164331e+00      -1.257839413571e-01      -1.707694205055e+00      -1.293470182648e+00      -1.281615485307e+00      -1.106367539808e+00       5.831807001811e-01       5.828537376244e-01       5.979993789739e-06       6.167057049425e-06       6.167071963377e-06       6.165426256681e-06       5.973327650878e-06       6.150576393202e-06       6.166274213162e-06       6.166896662009e-06 
