# Matter power spectrum P(k) at redshift z=1
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       2.090829300249e+01 
       1.341130231029e-05       2.119920181460e+01 
       1.688382928368e-05       2.621546795208e+01 
       2.125548173362e-05       3.369547104263e+01 
       2.675906609438e-05       4.140683613703e+01 
       3.368766830209e-05       5.296620855142e+01 
       4.241026168960e-05       6.587486940617e+01 
       5.339135616187e-05       8.242696869579e+01 
       6.721573504233e-05       1.031013168829e+02 
       8.461959691722e-05       1.286676824269e+02 
       1.065297608949e-04       1.604559955312e+02 
       1.341130231029e-04       2.001662490522e+02 
       1.688382928368e-04       2.496476493783e+02 
       2.125548173362e-04       3.114311191965e+02 
       2.675906609438e-04       3.884758158230e+02 
       3.368766830209e-04       4.844730270791e+02 
       4.241026168960e-04       6.039383559781e+02 
       5.339135616187e-04       7.522298125184e+02 
       6.721573504233e-04       9.356529376193e+02 
       8.461959691722e-04       1.161508066927e+03 
       1.065297608949e-03       1.438188714908e+03 
       1.341130231029e-03       1.775129541369e+03 
       1.688382928368e-03       2.182296819913e+03 
       2.125548173362e-03       2.669216876100e+03 
       2.675906609438e-03       3.243234286294e+03 
       3.368766830209e-03       3.907168972710e+03 
       4.241026168960e-03       4.656470576823e+03 
       5.339135616187e-03       5.475148535517e+03 
       6.721573504233e-03       6.330702583117e+03 
       8.461959691722e-03       7.168963507523e+03 
       1.065297608949e-02       7.908713510747e+03 
       1.341130231029e-02       8.439033441495e+03 
       1.688382928364e-02       8.626760002313e+03 
       2.125548150196e-02       8.343606426966e+03 
       2.675890332307e-02       7.536143376251e+03 
       3.366656121949e-02       6.335313318741e+03 
       4.174812847909e-02       5.160436935768e+03 
       4.845224332871e-02       4.500326191504e+03 
       5.333502158212e-02       4.171610599370e+03 
       5.737910415683e-02       3.963799148620e+03 
       6.099820005948e-02       3.805482524195e+03 
       6.437813162235e-02       3.666547018737e+03 
       6.761782965077e-02       3.531787351711e+03 
       7.077686273009e-02       3.393118769093e+03 
       7.389448284757e-02       3.246695309319e+03 
       7.699842267797e-02       3.091611217676e+03 
       8.010941563580e-02       2.929172996146e+03 
       8.324371480182e-02       2.762309074370e+03 
       8.641458889910e-02       2.595042697495e+03 
       8.963325723707e-02       2.431940522541e+03 
       9.290949883744e-02       2.277561854926e+03 
       9.625206312119e-02       2.135952907209e+03 
       9.966895476000e-02       2.010204651423e+03 
       1.031676359049e-01       1.902116631392e+03 
       1.067551724874e-01       1.812016223231e+03 
       1.104383416310e-01       1.738674385168e+03 
       1.142237113752e-01       1.679340031183e+03 
       1.181177002795e-01       1.629949726178e+03 
       1.221266221640e-01       1.585481046710e+03 
       1.262567197402e-01       1.540568044160e+03 
       1.305141898968e-01       1.490338343611e+03 
       1.349052027484e-01       1.431376828369e+03 
       1.394359161201e-01       1.362552849535e+03 
       1.441124868442e-01       1.285401562607e+03 
       1.489410800631e-01       1.203849252739e+03 
       1.539278775987e-01       1.123289078534e+03 
       1.590790863779e-01       1.049249790960e+03 
       1.644009478495e-01       9.860122508863e+02 
       1.698997492987e-01       9.355295413119e+02 
       1.755818379464e-01       8.969141301317e+02 
       1.814536387056e-01       8.666290393314e+02 
       1.875216764605e-01       8.396442178087e+02 
       1.937926037288e-01       8.103885672929e+02 
       2.002732345703e-01       7.748272977710e+02 
       2.069705856216e-01       7.325789545998e+02 
       2.138919251668e-01       6.867514475681e+02 
       2.210448312180e-01       6.422551864673e+02 
       2.284372596770e-01       6.034562715798e+02 
       2.360776238015e-01       5.724482509115e+02 
       2.439748864236e-01       5.483204794241e+02 
       2.521386666777e-01       5.275782056366e+02 
