# Matter power spectrum P(k) at redshift z=0.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       3.208154600412e+01 
       1.341130231029e-05       3.395428159015e+01 
       1.688382928368e-05       4.207006284577e+01 
       2.125548173362e-05       5.373638961331e+01 
       2.675906609438e-05       6.625538082553e+01 
       3.368766830209e-05       8.430929840051e+01 
       4.241026168960e-05       1.049216222778e+02 
       5.339135616187e-05       1.312154065679e+02 
       6.721573504233e-05       1.640441561548e+02 
       8.461959691722e-05       2.047246202941e+02 
       1.065297608949e-04       2.553571176258e+02 
       1.341130231029e-04       3.186214922728e+02 
       1.688382928368e-04       3.975273452667e+02 
       2.125548173362e-04       4.961154041811e+02 
       2.675906609438e-04       6.191695490872e+02 
       3.368766830209e-04       7.726044919778e+02 
       4.241026168960e-04       9.635495788653e+02 
       5.339135616187e-04       1.200327930794e+03 
       6.721573504233e-04       1.492605925578e+03 
       8.461959691722e-04       1.851624744748e+03 
       1.065297608949e-03       2.290558978833e+03 
       1.341130231029e-03       2.824507146756e+03 
       1.688382928368e-03       3.469541897638e+03 
       2.125548173362e-03       4.241003769180e+03 
       2.675906609438e-03       5.150650019013e+03 
       3.368766830209e-03       6.202924447183e+03 
       4.241026168960e-03       7.390489498442e+03 
       5.339135616187e-03       8.687739990262e+03 
       6.721573504233e-03       1.004278342822e+04 
       8.461959691722e-03       1.136936998409e+04 
       1.065297608949e-02       1.253809475555e+04 
       1.341130231029e-02       1.337272777917e+04 
       1.688382928364e-02       1.366233076024e+04 
       2.125548150196e-02       1.320453673060e+04 
       2.675890332307e-02       1.191766937355e+04 
       3.366656121949e-02       1.001261239370e+04 
       4.174812847909e-02       8.154561924965e+03 
       4.845224332871e-02       7.113430353080e+03 
       5.333502158212e-02       6.596299457389e+03 
       5.737910415683e-02       6.270145264345e+03 
       6.099820005948e-02       6.022155343061e+03 
       6.437813162235e-02       5.804790839029e+03 
       6.761782965077e-02       5.594053623057e+03 
       7.077686273009e-02       5.377188090817e+03 
       7.389448284757e-02       5.148123584085e+03 
       7.699842267797e-02       4.905426173497e+03 
       8.010941563580e-02       4.651150727686e+03 
       8.324371480182e-02       4.389908600714e+03 
       8.641458889910e-02       4.128037615130e+03 
       8.963325723707e-02       3.872732833267e+03 
       9.290949883744e-02       3.631178231890e+03 
       9.625206312119e-02       3.409749672237e+03 
       9.966895476000e-02       3.213317496930e+03 
       1.031676359049e-01       3.044715931151e+03 
       1.067551724874e-01       2.904457579056e+03 
       1.104383416310e-01       2.790599783988e+03 
       1.142237113752e-01       2.698798169957e+03 
       1.181177002795e-01       2.622636868235e+03 
       1.221266221640e-01       2.554185764177e+03 
       1.262567197402e-01       2.484971348377e+03 
       1.305141898968e-01       2.407297544009e+03 
       1.349052027484e-01       2.315766095516e+03 
       1.394359161201e-01       2.208581957491e+03 
       1.441124868442e-01       2.088155267131e+03 
       1.489410800631e-01       1.960668826801e+03 
       1.539278775987e-01       1.834620927419e+03 
       1.590790863779e-01       1.718725742878e+03 
       1.644009478495e-01       1.619730575511e+03 
       1.698997492987e-01       1.540711318215e+03 
       1.755818379464e-01       1.480262833319e+03 
       1.814536387056e-01       1.432801359575e+03 
       1.875216764605e-01       1.390391182596e+03 
       1.937926037288e-01       1.344247620576e+03 
       2.002732345703e-01       1.288014806615e+03 
       2.069705856216e-01       1.221103970121e+03 
       2.138919251668e-01       1.148431129767e+03 
       2.210448312180e-01       1.077753586857e+03 
       2.284372596770e-01       1.015967878262e+03 
       2.360776238015e-01       9.663860957045e+02 
       2.439748864236e-01       9.275857681617e+02 
       2.521386666777e-01       8.940759020182e+02 
       2.605793634242e-01       8.592201321448e+02 
       2.693082981334e-01       8.191206133399e+02 
       2.783378807602e-01       7.747602225735e+02 
       2.876818031601e-01       7.310077041263e+02 
       2.973552659400e-01       6.928687720738e+02 
       3.073752464211e-01       6.616196719321e+02 
       3.177608177653e-01       6.344379306074e+02 
       3.285335325042e-01       6.071774223735e+02 
       3.397178880384e-01       5.778085270753e+02 
       3.513418976134e-01       5.479224667763e+02 
       3.634377985428e-01       5.206764611875e+02 
       3.760429411182e-01       4.969730107883e+02 
       3.892009183754e-01       4.751263858248e+02 
       4.029630213023e-01       4.530792140314e+02 
       4.173901403592e-01       4.309205637888e+02 
       4.325552892222e-01       4.101346438122e+02 
       4.485470120206e-01       3.911463369405e+02 
       4.654740710103e-01       3.729534754131e+02 
       4.834720332049e-01       3.548217556524e+02 
       5.027127475356e-01       3.374004002769e+02 
       5.234183539439e-01       3.209683751463e+02 
       5.458826421665e-01       3.047608232803e+02 
       5.705048023177e-01       2.888528121755e+02 
       5.978450290190e-01       2.733248631562e+02 
       6.287207309535e-01       2.577648557863e+02 
       6.643829030557e-01       2.421208165712e+02 
       7.068621400517e-01       2.260080820155e+02 
       7.597018663167e-01       2.090201365410e+02 
       8.296366180581e-01       1.904158412080e+02 
