# Matter power spectrum P(k) at redshift z=0.1
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       4.734153274294e+01 
       1.341130231029e-05       5.179406999446e+01 
       1.688382928368e-05       6.423729602244e+01 
       2.125548173362e-05       8.165408737741e+01 
       2.675906609438e-05       1.009162485741e+02 
       3.368766830209e-05       1.279093463772e+02 
       4.241026168960e-05       1.592481767864e+02 
       5.339135616187e-05       1.990622744987e+02 
       6.721573504233e-05       2.487802129700e+02 
       8.461959691722e-05       3.104985256778e+02 
       1.065297608949e-04       3.874069316972e+02 
       1.341130231029e-04       4.835749125963e+02 
       1.688382928368e-04       6.036918366065e+02 
       2.125548173362e-04       7.539690353178e+02 
       2.675906609438e-04       9.418047984843e+02 
       3.368766830209e-04       1.176206766038e+03 
       4.241026168960e-04       1.467760768707e+03 
       5.339135616187e-04       1.828494932633e+03 
       6.721573504233e-04       2.272169146640e+03 
       8.461959691722e-04       2.815005777892e+03 
       1.065297608949e-03       3.476625317439e+03 
       1.341130231029e-03       4.280089084796e+03 
       1.688382928368e-03       5.250141419771e+03 
       2.125548173362e-03       6.410256344217e+03 
       2.675906609438e-03       7.778203856913e+03 
       3.368766830209e-03       9.360612145944e+03 
       4.241026168960e-03       1.114617425887e+04 
       5.339135616187e-03       1.309622101736e+04 
       6.721573504233e-03       1.513371516360e+04 
       8.461959691722e-03       1.712980836379e+04 
       1.065297608949e-02       1.889054654703e+04 
       1.341130231029e-02       2.015424973097e+04 
       1.688382928364e-02       2.060568969525e+04 
       2.125548150196e-02       1.993827990782e+04 
       2.675890332307e-02       1.802337042952e+04 
       3.366656121949e-02       1.516581660714e+04 
       4.174812847909e-02       1.236072240837e+04 
       4.845224332871e-02       1.077947601441e+04 
       5.333502158212e-02       9.989523859194e+03 
       5.737910415683e-02       9.488499715905e+03 
       6.099820005948e-02       9.105645265237e+03 
       6.437813162235e-02       8.768875634971e+03 
       6.761782965077e-02       8.441763272564e+03 
       7.077686273009e-02       8.104947463126e+03 
       7.389448284757e-02       7.749240293806e+03 
       7.699842267797e-02       7.372503287215e+03 
       8.010941563580e-02       6.977924406693e+03 
       8.324371480182e-02       6.572584778980e+03 
       8.641458889910e-02       6.166193780053e+03 
       8.963325723707e-02       5.769761813234e+03 
       9.290949883744e-02       5.394267240104e+03 
       9.625206312119e-02       5.049445675184e+03 
       9.966895476000e-02       4.742719640942e+03 
       1.031676359049e-01       4.478397685520e+03 
       1.067551724874e-01       4.257244357545e+03 
       1.104383416310e-01       4.076283604313e+03 
       1.142237113752e-01       3.928890994755e+03 
       1.181177002795e-01       3.805303354954e+03 
       1.221266221640e-01       3.693472538804e+03 
       1.262567197402e-01       3.580545108288e+03 
       1.305141898968e-01       3.454870611649e+03 
