# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -1.595511730076e+00      -1.196633801093e+00      -1.196633801086e+00      -1.196567235465e-01      -1.595511730013e+00      -1.328323528706e+00      -1.203486908584e+00      -1.194185298309e+00       6.011594476926e-01       5.994998046512e-01       4.828451604101e-08       4.828853045689e-08       4.828853130544e-08       4.828851374005e-08       4.828443226617e-08       4.828610094294e-08       4.828783741287e-08       4.828851392091e-08 
       1.341130231029e-05      -1.595598546312e+00      -1.196698920799e+00      -1.196698920792e+00      -1.196585314952e-01      -1.595598546106e+00      -1.328395808647e+00      -1.203552400401e+00      -1.194250269376e+00       6.011596052473e-01       5.995000318497e-01       7.652106639492e-08       7.653217816360e-08       7.653218104558e-08       7.653213451137e-08       7.652083282760e-08       7.652571446446e-08       7.653083219836e-08       7.653213523133e-08 
       1.688382928368e-05      -1.595732108238e+00      -1.196799110820e+00      -1.196799110798e+00      -1.196615238867e-01      -1.595732107706e+00      -1.328507010978e+00      -1.203653162305e+00      -1.194350231481e+00       6.011608610189e-01       5.995013863125e-01       1.212666740849e-07       1.212954941435e-07       1.212955004554e-07       1.212953823435e-07       1.212660715880e-07       1.212791328732e-07       1.212928070703e-07       1.212953852094e-07 
       2.125548173362e-05      -1.595961794954e+00      -1.196971430303e+00      -1.196971430267e+00      -1.196657107544e-01      -1.595961793394e+00      -1.328698252502e+00      -1.203826461781e+00      -1.194522155757e+00       6.011583412370e-01       5.994990540259e-01       1.921626249892e-07       1.922399427018e-07       1.922399592520e-07       1.922396437351e-07       1.921610026240e-07       1.921965527585e-07       1.922339438072e-07       1.922396551426e-07 
       2.675906609438e-05      -1.596316958233e+00      -1.197237944777e+00      -1.197237944739e+00      -1.196725259348e-01      -1.596316953913e+00      -1.328993984493e+00      -1.204094483629e+00      -1.194788059598e+00       6.011565452613e-01       5.994975535585e-01       3.044779713254e-07       3.046790851760e-07       3.046791299444e-07       3.046783008531e-07       3.044737267541e-07       3.045669516041e-07       3.046653325210e-07       3.046783462555e-07 
       3.368766830209e-05      -1.596881771868e+00      -1.197661919296e+00      -1.197661919278e+00      -1.196832627903e-01      -1.596881760430e+00      -1.329464335030e+00      -1.204520837155e+00      -1.195211062239e+00       6.011531723339e-01       5.994946464318e-01       4.823658636700e-07       4.828818651104e-07       4.828819811744e-07       4.828798011638e-07       4.823549450165e-07       4.825953349915e-07       4.828493827988e-07       4.828799818395e-07 
       4.241026168960e-05      -1.597771237554e+00      -1.198329938727e+00      -1.198329938771e+00      -1.197004623084e-01      -1.597771208047e+00      -1.330205150256e+00      -1.205192557173e+00      -1.195877549488e+00       6.011491372872e-01       5.994913411529e-01       7.640039372843e-07       7.653126628829e-07       7.653129603866e-07       7.653071886125e-07       7.639761996989e-07       7.645878460099e-07       7.652347406142e-07       7.653079074276e-07 
       5.339135616187e-05      -1.599187324933e+00      -1.199394377225e+00      -1.199394377642e+00      -1.197270408179e-01      -1.599187248229e+00      -1.331384872290e+00      -1.206262761369e+00      -1.196939540545e+00       6.011408353473e-01       5.994842275667e-01       1.209594670118e-06       1.212924017975e-06       1.212924777671e-06       1.212909090679e-06       1.209523966159e-06       1.211082161941e-06       1.212732488028e-06       1.212911949371e-06 
       6.721573504233e-05      -1.601427348183e+00      -1.201080331585e+00      -1.201080332902e+00      -1.197695253267e-01      -1.601427153811e+00      -1.333251715431e+00      -1.207957546501e+00      -1.198621610517e+00       6.011280257522e-01       5.994732678565e-01       1.913935228177e-06       1.922326793398e-06       1.922328727461e-06       1.922285070205e-06       1.913757001771e-06       1.917688718604e-06       1.921854368092e-06       1.922296432266e-06 
       8.461959691722e-05      -1.604949704873e+00      -1.203736886176e+00      -1.203736889439e+00      -1.198370241910e-01      -1.604949217857e+00      -1.336189055553e+00      -1.210627275072e+00      -1.201272024011e+00       6.011128792831e-01       5.994610047410e-01       3.025591636831e-06       3.046628871752e-06       3.046633720088e-06       3.046507716245e-06       3.025145092704e-06       3.035011029874e-06       3.045463546806e-06       3.046552832707e-06 
