# Matter power spectrum P(k) at redshift z=6
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       2.543132202215e+00 
       1.341130231029e-05       2.703987590667e+00 
       1.688382928368e-05       2.857598659474e+00 
       2.125548173362e-05       3.470805570553e+00 
       2.675906609438e-05       4.143246397835e+00 
       3.368766830209e-05       5.082560707556e+00 
       4.241026168960e-05       6.200019072538e+00 
       5.339135616187e-05       7.703208910515e+00 
       6.721573504233e-05       9.558527017165e+00 
       8.461959691722e-05       1.184244968678e+01 
       1.065297608949e-04       1.470355810754e+01 
       1.341130231029e-04       1.829407768881e+01 
       1.688382928368e-04       2.276569454387e+01 
       2.125548173362e-04       2.836129093454e+01 
       2.675906609438e-04       3.534342598655e+01 
       3.368766830209e-04       4.404088335892e+01 
       4.241026168960e-04       5.486496707478e+01 
       5.339135616187e-04       6.831272299482e+01 
       6.721573504233e-04       8.498445480430e+01 
       8.461959691722e-04       1.055787884687e+02 
       1.065297608949e-03       1.308909263162e+02 
       1.341130231029e-03       1.617853744512e+02 
       1.688382928368e-03       1.991433098104e+02 
       2.125548173362e-03       2.437997271483e+02 
       2.675906609438e-03       2.964103460066e+02 
       3.368766830209e-03       3.572303412602e+02 
       4.241026168960e-03       4.258381927647e+02 
       5.339135616187e-03       5.007862798612e+02 
       6.721573504233e-03       5.791180613975e+02 
       8.461959691722e-03       6.559215956754e+02 
       1.065297608949e-02       7.237594092712e+02 
       1.341130231029e-02       7.725898539276e+02 
       1.688382928364e-02       7.903560867461e+02 
       2.125548150196e-02       7.652152909660e+02 
       2.675890332307e-02       6.920211153310e+02 
       3.366656121949e-02       5.824713437822e+02 
       4.174812847909e-02       4.748047787190e+02 
       4.845224332871e-02       4.140792905860e+02 
       5.333502158212e-02       3.837343119968e+02 
       5.737910415683e-02       3.644858600508e+02 
       6.099820005948e-02       3.497768303319e+02 
       6.437813162235e-02       3.368388124878e+02 
       6.761782965077e-02       3.242730374484e+02 
       7.077686273009e-02       3.113356954686e+02 
       7.389448284757e-02       2.976737045484e+02 
       7.699842267797e-02       2.832052709130e+02 
       8.010941563580e-02       2.680526701122e+02 
       8.324371480182e-02       2.524878097448e+02 
       8.641458889910e-02       2.368836246416e+02 
       8.963325723707e-02       2.216628710210e+02 
       9.290949883744e-02       2.072470721206e+02 
       9.625206312119e-02       1.940098667568e+02 
       9.966895476000e-02       1.822362503222e+02 
       1.031676359049e-01       1.720916070924e+02 
       1.067551724874e-01       1.636052124544e+02 
       1.104383416310e-01       1.566627137593e+02 
       1.142237113752e-01       1.510096153960e+02 
       1.181177002795e-01       1.462708854333e+02 
       1.221266221640e-01       1.419837462639e+02 
       1.262567197402e-01       1.376545108632e+02 
       1.305141898968e-01       1.328356943446e+02 
       1.349052027484e-01       1.272146277415e+02 
       1.394359161201e-01       1.206893474038e+02 
       1.441124868442e-01       1.134032736642e+02 
       1.489410800631e-01       1.057193421553e+02 
       1.539278775987e-01       9.813431746445e+01 
       1.590790863779e-01       9.115592056509e+01 
       1.644009478495e-01       8.517579141850e+01 
       1.698997492987e-01       8.037115781732e+01 
       1.755818379464e-01       7.665907786003e+01 
       1.814536387056e-01       7.371512712611e+01 
       1.875216764605e-01       7.107952009727e+01 
       1.937926037288e-01       6.824499253140e+01 
       2.002732345703e-01       6.484606723987e+01 
       2.069705856216e-01       6.085065766340e+01 
       2.138919251668e-01       5.654402789965e+01 
       2.210448312180e-01       5.237387606600e+01 
       2.284372596770e-01       4.873622054396e+01 
       2.360776238015e-01       4.581898250144e+01 
       2.439748864236e-01       4.353750210210e+01 
       2.521386666777e-01       4.157463790914e+01 
       2.605793634242e-01       3.954909080954e+01 
       2.693082981334e-01       3.723754765169e+01 
       2.783378807602e-01       3.469641779794e+01 
       2.876818031601e-01       3.220301054362e+01 
       2.973552659400e-01       3.004067192862e+01 
       3.073752464211e-01       2.827992078020e+01 
       3.177608177653e-01       2.675859558902e+01 
       3.285335325042e-01       2.523935039741e+01 
       3.397178880384e-01       2.360622578900e+01 
       3.513418976134e-01       2.195248918287e+01 
       3.634377985428e-01       2.044848973499e+01 
       3.760429411182e-01       1.915655652183e+01 
       3.892009183754e-01       1.797371350600e+01 
       4.029630213023e-01       1.678310837518e+01 
       4.173901403592e-01       1.559096653873e+01 
       4.325552892222e-01       1.448095820461e+01 
       4.485470120206e-01       1.347649758946e+01 
       4.654740710103e-01       1.252180586572e+01 
       4.834720332049e-01       1.157660843207e+01 
       5.027127475356e-01       1.067754584180e+01 
       5.234183539439e-01       9.840541030803e+00 
       5.458826421665e-01       9.024415653658e+00 
       5.705048023177e-01       8.234661873635e+00 
