# Matter power spectrum P(k) at redshift z=2.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       8.332612718714e+00 
       1.341130231029e-05       7.436221569627e+00 
       1.688382928368e-05       9.062842523693e+00 
       2.125548173362e-05       1.190159452988e+01 
       2.675906609438e-05       1.451821762094e+01 
       3.368766830209e-05       1.886736441417e+01 
       4.241026168960e-05       2.340015196992e+01 
       5.339135616187e-05       2.929924359676e+01 
       6.721573504233e-05       3.674185941729e+01 
       8.461959691722e-05       4.585951053581e+01 
       1.065297608949e-04       5.717267425690e+01 
       1.341130231029e-04       7.131383962560e+01 
       1.688382928368e-04       8.891267205006e+01 
       2.125548173362e-04       1.108880126952e+02 
       2.675906609438e-04       1.382717222153e+02 
       3.368766830209e-04       1.723680847510e+02 
       4.241026168960e-04       2.147925778865e+02 
       5.339135616187e-04       2.674834747919e+02 
       6.721573504233e-04       3.327641297064e+02 
       8.461959691722e-04       4.133360635181e+02 
       1.065297608949e-03       5.122707510911e+02 
       1.341130231029e-03       6.329443710288e+02 
       1.688382928368e-03       7.788687510338e+02 
       2.125548173362e-03       9.534088328032e+02 
       2.675906609438e-03       1.159171108509e+03 
       3.368766830209e-03       1.397173154675e+03 
       4.241026168960e-03       1.665825965368e+03 
       5.339135616187e-03       1.959487943308e+03 
       6.721573504233e-03       2.266661788302e+03 
       8.461959691722e-03       2.568103166724e+03 
       1.065297608949e-02       2.834921894482e+03 
       1.341130231029e-02       3.027558157122e+03 
       1.688382928364e-02       3.098219333882e+03 
       2.125548150196e-02       3.000697296217e+03 
       2.675890332307e-02       2.714759630273e+03 
       3.366656121949e-02       2.285983718979e+03 
       4.174812847909e-02       1.864217566486e+03 
       4.845224332871e-02       1.626272301605e+03 
       5.333502158212e-02       1.507372342031e+03 
       5.737910415683e-02       1.431953239368e+03 
       6.099820005948e-02       1.374310773343e+03 
       6.437813162235e-02       1.323589182927e+03 
       6.761782965077e-02       1.274302198269e+03 
       7.077686273009e-02       1.223532833205e+03 
       7.389448284757e-02       1.169896557745e+03 
       7.699842267797e-02       1.113073691923e+03 
       8.010941563580e-02       1.053546632912e+03 
       8.324371480182e-02       9.923860120991e+02 
       8.641458889910e-02       9.310591325797e+02 
       8.963325723707e-02       8.712293843875e+02 
       9.290949883744e-02       8.145558129889e+02 
       9.625206312119e-02       7.625091790668e+02 
       9.966895476000e-02       7.162114227304e+02 
       1.031676359049e-01       6.763139922011e+02 
       1.067551724874e-01       6.429329858684e+02 
       1.104383416310e-01       6.156196113019e+02 
       1.142237113752e-01       5.933738116216e+02 
       1.181177002795e-01       5.747213728889e+02 
       1.221266221640e-01       5.578428581576e+02 
       1.262567197402e-01       5.407971211238e+02 
       1.305141898968e-01       5.218246541929e+02 
       1.349052027484e-01       4.996962247594e+02 
       1.394359161201e-01       4.740113831169e+02 
       1.441124868442e-01       4.453347048010e+02 
       1.489410800631e-01       4.150938222646e+02 
       1.539278775987e-01       3.852422725999e+02 
       1.590790863779e-01       3.577762622748e+02 
       1.644009478495e-01       3.342352032326e+02 
       1.698997492987e-01       3.153152361995e+02 
       1.755818379464e-01       3.006896158575e+02 
       1.814536387056e-01       2.890825697936e+02 
       1.875216764605e-01       2.786875222151e+02 
       1.937926037288e-01       2.675107597224e+02 
       2.002732345703e-01       2.541157921822e+02 
       2.069705856216e-01       2.383779345855e+02 
       2.138919251668e-01       2.214196049520e+02 
       2.210448312180e-01       2.050001066442e+02 
       2.284372596770e-01       1.906740084963e+02 
       2.360776238015e-01       1.791780209291e+02 
       2.439748864236e-01       1.701790054654e+02 
       2.521386666777e-01       1.624315744009e+02 
       2.605793634242e-01       1.544390532771e+02 
       2.693082981334e-01       1.453255822980e+02 
       2.783378807602e-01       1.353132041349e+02 
       2.876818031601e-01       1.254903794464e+02 
       2.973552659400e-01       1.169684158115e+02 
       3.073752464211e-01       1.100227525952e+02 
       3.177608177653e-01       1.040168055211e+02 
       3.285335325042e-01       9.802055384259e+01 
       3.397178880384e-01       9.158033170608e+01 
       3.513418976134e-01       8.506212005278e+01 
       3.634377985428e-01       7.913264974114e+01 
       3.760429411182e-01       7.403514602159e+01 
       3.892009183754e-01       6.936622656773e+01 
       4.029630213023e-01       6.466941568983e+01 
       4.173901403592e-01       5.996961814332e+01 
       4.325552892222e-01       5.559339140759e+01 
       4.485470120206e-01       5.163161707016e+01 
       4.654740710103e-01       4.786691308889e+01 
       4.834720332049e-01       4.414243145689e+01 
       5.027127475356e-01       4.060087923557e+01 
       5.234183539439e-01       3.730421658990e+01 
       5.458826421665e-01       3.409240975197e+01 
       5.705048023177e-01       3.098709204072e+01 
       5.978450290190e-01       2.801281899169e+01 
       6.287207309535e-01       2.509382658957e+01 
       6.643829030557e-01       2.223655349647e+01 
       7.068621400517e-01       1.938867462661e+01 
       7.597018663167e-01       1.651414804865e+01 
       8.296366180581e-01       1.355006850022e+01 
       9.305522312713e-01       1.044083194419e+01 
       1.090628146677e+00       7.245996894127e+00 
       1.344459231526e+00       4.440989573115e+00 
       1.690134455615e+00       2.575412630914e+00 
       2.127709730039e+00       1.475077861561e+00 
       2.678627697715e+00       8.379181235979e-01 
       3.372192477317e+00       4.724730685595e-01 
       4.245338803155e+00       2.646257023981e-01 
       5.344564900968e+00       1.473049779128e-01 
       6.728408568812e+00       8.154935418229e-02 
       8.470564528211e+00       4.491296260942e-02 
       1.066380893681e+01       2.462229613800e-02 
       1.342494005706e+01       1.344086392157e-02 
       1.690099818965e+01       7.309069629730e-03 
       2.127709610564e+01       3.959756582833e-03 
       2.678627697658e+01       2.138306886056e-03 
       3.372192477317e+01       1.150888036261e-03 
       4.245338803155e+01       6.175349301286e-04 
       5.344564900968e+01       3.303329706068e-04 
       6.728408568812e+01       1.761043095079e-04 
       8.470564528211e+01       9.354327684674e-05 
       1.066380893681e+02       4.946161342583e-05 
       1.342494005706e+02       2.599968686858e-05 
       1.690099818965e+02       1.355820249228e-05 
