# Matter power spectrum P(k) at redshift z=2.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       9.053449224671e+00 
       1.341130231029e-05       7.913410763157e+00 
       1.688382928368e-05       9.434030848318e+00 
       2.125548173362e-05       1.220171510869e+01 
       2.675906609438e-05       1.475289769898e+01 
       3.368766830209e-05       1.905796979240e+01 
       4.241026168960e-05       2.355241236352e+01 
       5.339135616187e-05       2.942277052928e+01 
       6.721573504233e-05       3.684365945300e+01 
       8.461959691722e-05       4.594497600872e+01 
       1.065297608949e-04       5.724640861175e+01 
       1.341130231029e-04       7.137969267552e+01 
       1.688382928368e-04       8.897367012532e+01 
       2.125548173362e-04       1.109463610831e+02 
       2.675906609438e-04       1.383283508318e+02 
       3.368766830209e-04       1.724217584191e+02 
       4.241026168960e-04       2.148380694791e+02 
       5.339135616187e-04       2.675081957333e+02 
       6.721573504233e-04       3.327424918866e+02 
       8.461959691722e-04       4.132212024939e+02 
       1.065297608949e-03       5.119848965282e+02 
       1.341130231029e-03       6.323719750469e+02 
       1.688382928368e-03       7.778556549458e+02 
       2.125548173362e-03       9.517569354781e+02 
       2.675906609438e-03       1.156614611706e+03 
       3.368766830209e-03       1.393380601754e+03 
       4.241026168960e-03       1.660421387858e+03 
       5.339135616187e-03       1.952011664751e+03 
       6.721573504233e-03       2.256529732542e+03 
       8.461959691722e-03       2.554788094635e+03 
       1.065297608949e-02       2.818048084660e+03 
       1.341130231029e-02       3.007012105615e+03 
       1.688382928364e-02       3.074666620427e+03 
       2.125548150196e-02       2.974875229476e+03 
       2.675890332307e-02       2.688537670258e+03 
       3.366656121949e-02       2.261418145358e+03 
       4.174812847909e-02       1.842431625705e+03 
       4.845224332871e-02       1.606413535419e+03 
       5.333502158212e-02       1.488579663872e+03 
       5.737910415683e-02       1.413900589009e+03 
       6.099820005948e-02       1.356885439621e+03 
       6.437813162235e-02       1.306777425000e+03 
       6.761782965077e-02       1.258143221035e+03 
       7.077686273009e-02       1.208094140590e+03 
       7.389448284757e-02       1.155257356916e+03 
       7.699842267797e-02       1.099311796502e+03 
       8.010941563580e-02       1.040727693069e+03 
       8.324371480182e-02       9.805555438510e+02 
       8.641458889910e-02       9.202372669095e+02 
       8.963325723707e-02       8.614083779757e+02 
       9.290949883744e-02       8.057006341339e+02 
       9.625206312119e-02       7.545611041168e+02 
       9.966895476000e-02       7.090941131800e+02 
       1.031676359049e-01       6.699412532004e+02 
       1.067551724874e-01       6.372172216304e+02 
       1.104383416310e-01       6.104803502773e+02 
       1.142237113752e-01       5.887456101228e+02 
       1.181177002795e-01       5.705601953928e+02 
       1.221266221640e-01       5.541302666702e+02 
       1.262567197402e-01       5.375410575326e+02 
       1.305141898968e-01       5.190558503719e+02 
       1.349052027484e-01       4.974598266066e+02 
       1.394359161201e-01       4.723548092312e+02 
       1.441124868442e-01       4.442943889406e+02 
       1.489410800631e-01       4.146844335039e+02 
       1.539278775987e-01       3.854517035434e+02 
       1.590790863779e-01       3.585678540425e+02 
       1.644009478495e-01       3.355563386298e+02 
       1.698997492987e-01       3.171093698016e+02 
       1.755818379464e-01       3.029081757908e+02 
       1.814536387056e-01       2.916937204062e+02 
       1.875216764605e-01       2.816788488474e+02 
       1.937926037288e-01       2.708877576857e+02 
       2.002732345703e-01       2.578932199584e+02 
       2.069705856216e-01       2.425660243090e+02 
       2.138919251668e-01       2.260141368256e+02 
       2.210448312180e-01       2.099812749897e+02 
       2.284372596770e-01       1.960133928398e+02 
       2.360776238015e-01       1.848478607846e+02 
       2.439748864236e-01       1.761583150968e+02 
       2.521386666777e-01       1.687067637244e+02 
       2.605793634242e-01       1.609997318874e+02 
       2.693082981334e-01       1.521587100635e+02 
       2.783378807602e-01       1.424000831979e+02 
       2.876818031601e-01       1.328095247089e+02 
       2.973552659400e-01       1.245017709864e+02 
       3.073752464211e-01       1.177575771000e+02 
       3.177608177653e-01       1.119405514912e+02 
       3.285335325042e-01       1.061145393149e+02 
       3.397178880384e-01       9.981912448804e+01 
       3.513418976134e-01       9.342066512313e+01 
       3.634377985428e-01       8.759353597848e+01 
       3.760429411182e-01       8.258701268162e+01 
       3.892009183754e-01       7.799342188688e+01 
       4.029630213023e-01       7.334758171601e+01 
       4.173901403592e-01       6.867329411426e+01 
       4.325552892222e-01       6.430447996422e+01 
       4.485470120206e-01       6.033600393247e+01 
       4.654740710103e-01       5.654551423208e+01 
       4.834720332049e-01       5.277104814725e+01 
       5.027127475356e-01       4.916022532611e+01 
       5.234183539439e-01       4.577838710842e+01 
       5.458826421665e-01       4.245936815335e+01 
       5.705048023177e-01       3.922592415830e+01 
       5.978450290190e-01       3.610407635668e+01 
       6.287207309535e-01       3.301263941419e+01 
       6.643829030557e-01       2.995667200632e+01 
       7.068621400517e-01       2.687897372676e+01 
       7.597018663167e-01       2.373444223238e+01 
       8.296366180581e-01       2.043766486193e+01 
       9.305522312713e-01       1.690094793247e+01 
       1.090628146677e+00       1.313512426753e+01 
       1.344459231526e+00       9.612682388519e+00 
       1.690134455615e+00       7.005559335374e+00 
       2.127709730039e+00       5.199427784118e+00 
       2.678627697715e+00       3.895957874080e+00 
       3.372192477317e+00       2.911080478213e+00 
       4.245338803155e+00       2.145166752979e+00 
       5.344564900968e+00       1.546806611256e+00 
       6.728408568812e+00       1.086875757841e+00 
       8.470564528211e+00       7.432692173561e-01 
       1.066380893681e+01       4.950236001657e-01 
       1.342494005706e+01       3.216271875672e-01 
       1.690099818965e+01       2.043304102265e-01 
       2.127709610564e+01       1.272834459304e-01 
       2.678627697658e+01       7.798528689071e-02 
       3.372192477317e+01       4.712138189561e-02 
       4.245338803155e+01       2.813308095803e-02 
       5.344564900968e+01       1.662568277937e-02 
       6.728408568812e+01       9.740034631090e-03 
       8.470564528211e+01       5.661586793401e-03 
       1.066380893681e+02       3.267938864071e-03 
       1.342494005706e+02       1.873950386849e-03 
       1.690099818965e+02       1.068052402608e-03 
       2.127709610564e+02       6.052406362783e-04 
