# Matter power spectrum P(k) at redshift z=0.75
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       2.567950206122e+01 
       1.341130231029e-05       2.660132137795e+01 
       1.688382928368e-05       3.292493027419e+01 
       2.125548173362e-05       4.218441348409e+01 
       2.675906609438e-05       5.192436256630e+01 
       3.368766830209e-05       6.624045118968e+01 
       4.241026168960e-05       8.240475173219e+01 
       5.339135616187e-05       1.030823684848e+02 
       6.721573504233e-05       1.288933504725e+02 
       8.461959691722e-05       1.608359694852e+02 
       1.065297608949e-04       2.005536394545e+02 
       1.341130231029e-04       2.501402285435e+02 
       1.688382928368e-04       3.118968631315e+02 
       2.125548173362e-04       3.889331442498e+02 
       2.675906609438e-04       4.848969239834e+02 
       3.368766830209e-04       6.043369011701e+02 
       4.241026168960e-04       7.528531824000e+02 
       5.339135616187e-04       9.371943055754e+02 
       6.721573504233e-04       1.165443151401e+03 
       8.461959691722e-04       1.447063647341e+03 
       1.065297608949e-03       1.792882390355e+03 
       1.341130231029e-03       2.214845472643e+03 
       1.688382928368e-03       2.725310858373e+03 
       2.125548173362e-03       3.335941976121e+03 
       2.675906609438e-03       4.055701065141e+03 
       3.368766830209e-03       4.888003138035e+03 
       4.241026168960e-03       5.827182094393e+03 
       5.339135616187e-03       6.853377650514e+03 
       6.721573504233e-03       7.926208851173e+03 
       8.461959691722e-03       8.978400731019e+03 
       1.065297608949e-02       9.908931131100e+03 
       1.341130231029e-02       1.057969728770e+04 
       1.688382928364e-02       1.082435792389e+04 
       2.125548150196e-02       1.048122554567e+04 
       2.675890332307e-02       9.480346137384e+03 
       3.366656121949e-02       7.981178271345e+03 
       4.174812847909e-02       6.507161105709e+03 
       4.845224332871e-02       5.675633046074e+03 
       5.333502158212e-02       5.260065014682e+03 
       5.737910415683e-02       4.996426004011e+03 
       6.099820005948e-02       4.794917836020e+03 
       6.437813162235e-02       4.617622168334e+03 
       6.761782965077e-02       4.445380320783e+03 
       7.077686273009e-02       4.268007042204e+03 
       7.389448284757e-02       4.080668646152e+03 
       7.699842267797e-02       3.882247964827e+03 
       8.010941563580e-02       3.674426101349e+03 
       8.324371480182e-02       3.460935720600e+03 
       8.641458889910e-02       3.246892481907e+03 
       8.963325723707e-02       3.038095239585e+03 
       9.290949883744e-02       2.840326992893e+03 
       9.625206312119e-02       2.658713494219e+03 
       9.966895476000e-02       2.497163611109e+03 
       1.031676359049e-01       2.357945269065e+03 
       1.067551724874e-01       2.241460139031e+03 
       1.104383416310e-01       2.146140318902e+03 
       1.142237113752e-01       2.068497057361e+03 
       1.181177002795e-01       2.003389402854e+03 
       1.221266221640e-01       1.944473832315e+03 
       1.262567197402e-01       1.884983394346e+03 
       1.305141898968e-01       1.818785096823e+03 
       1.349052027484e-01       1.741594995387e+03 
       1.394359161201e-01       1.652018289165e+03 
       1.441124868442e-01       1.552023490717e+03 
       1.489410800631e-01       1.446586370593e+03 
       1.539278775987e-01       1.342514605251e+03 
       1.590790863779e-01       1.246763764568e+03 
       1.644009478495e-01       1.164697057613e+03 
       1.698997492987e-01       1.098738615212e+03 
       1.755818379464e-01       1.047748343728e+03 
       1.814536387056e-01       1.007279520761e+03 
       1.875216764605e-01       9.710377266158e+02 
       1.937926037288e-01       9.320753413139e+02 
       2.002732345703e-01       8.853859052145e+02 
       2.069705856216e-01       8.305360186828e+02 
       2.138919251668e-01       7.714377270769e+02 
       2.210448312180e-01       7.142206195140e+02 
       2.284372596770e-01       6.642993147321e+02 
       2.360776238015e-01       6.242392220881e+02 
       2.439748864236e-01       5.928796581006e+02 
       2.521386666777e-01       5.658819892802e+02 
       2.605793634242e-01       5.380318704134e+02 
       2.693082981334e-01       5.062777773284e+02 
       2.783378807602e-01       4.713928696299e+02 
       2.876818031601e-01       4.371690548619e+02 
       2.973552659400e-01       4.074781998225e+02 
       3.073752464211e-01       3.832794197188e+02 
       3.177608177653e-01       3.623545725298e+02 
       3.285335325042e-01       3.414638778283e+02 
       3.397178880384e-01       3.190269398741e+02 
       3.513418976134e-01       2.963188841787e+02 
       3.634377985428e-01       2.756621434677e+02 
       3.760429411182e-01       2.579038758294e+02 
       3.892009183754e-01       2.416385119197e+02 
       4.029630213023e-01       2.252762137780e+02 
       4.173901403592e-01       2.089039682853e+02 
       4.325552892222e-01       1.936589962552e+02 
       4.485470120206e-01       1.798575749718e+02 
       4.654740710103e-01       1.667429886994e+02 
       4.834720332049e-01       1.537686217950e+02 
       5.027127475356e-01       1.414314176107e+02 
       5.234183539439e-01       1.299474565516e+02 
       5.458826421665e-01       1.187590803737e+02 
       5.705048023177e-01       1.079417256759e+02 
       5.978450290190e-01       9.758089982971e+01 
       6.287207309535e-01       8.741267195867e+01 
       6.643829030557e-01       7.745945281316e+01 
       7.068621400517e-01       6.753901391327e+01 
       7.597018663167e-01       5.752575235950e+01 
       8.296366180581e-01       4.720057752035e+01 
       9.305522312713e-01       3.636977012294e+01 
       1.090628146677e+00       2.524080540957e+01 
       1.344459231526e+00       1.546979167138e+01 
       1.690134455615e+00       8.971214281476e+00 
       2.127709730039e+00       5.138291843936e+00 
       2.678627697715e+00       2.918801015418e+00 
       3.372192477317e+00       1.645807244697e+00 
       4.245338803155e+00       9.217905404434e-01 
       5.344564900968e+00       5.131150843783e-01 
       6.728408568812e+00       2.840624471398e-01 
       8.470564528211e+00       1.564433835889e-01 
       1.066380893681e+01       8.576322066291e-02 
       1.342494005706e+01       4.681464040798e-02 
       1.690099818965e+01       2.545581683069e-02 
       2.127709610564e+01       1.378977860596e-02 
       2.678627697658e+01       7.445197028608e-03 
       3.372192477317e+01       4.006162329504e-03 
       4.245338803155e+01       2.148698068721e-03 
       5.344564900968e+01       1.148646331465e-03 
       6.728408568812e+01       6.117112830196e-04 
       8.470564528211e+01       3.244152585127e-04 
       1.066380893681e+02       1.711159337190e-04 
       1.342494005706e+02       8.958715388778e-05 
       1.690099818965e+02       4.644518000434e-05 
       2.127709610564e+02       2.373831387381e-05 
