# Matter power spectrum P(k) at redshift z=0.75
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       2.567950882224e+01 
       1.341130231029e-05       2.660133144680e+01 
       1.688382928368e-05       3.292494563917e+01 
       2.125548173362e-05       4.218443702596e+01 
       2.675906609438e-05       5.192439841247e+01 
       3.368766830209e-05       6.624050596598e+01 
       4.241026168960e-05       8.240483504380e+01 
       5.339135616187e-05       1.030824950462e+02 
       6.721573504233e-05       1.288935422495e+02 
       8.461959691722e-05       1.608362590753e+02 
       1.065297608949e-04       2.005540748458e+02 
       1.341130231029e-04       2.501408794093e+02 
       1.688382928368e-04       3.118978285587e+02 
       2.125548173362e-04       3.889345610253e+02 
       2.675906609438e-04       4.848989720567e+02 
       3.368766830209e-04       6.043397980078e+02 
       4.241026168960e-04       7.528571467760e+02 
       5.339135616187e-04       9.371994485571e+02 
       6.721573504233e-04       1.165449205696e+03 
       8.461959691722e-04       1.447069354359e+03 
       1.065297608949e-03       1.792884185969e+03 
       1.341130231029e-03       2.214834775940e+03 
       1.688382928368e-03       2.725268654665e+03 
       2.125548173362e-03       3.335828299124e+03 
       2.675906609438e-03       4.055435186119e+03 
       3.368766830209e-03       4.887427493566e+03 
       4.241026168960e-03       5.825999189847e+03 
       5.339135616187e-03       6.851045662601e+03 
       6.721573504233e-03       7.921782595275e+03 
       8.461959691722e-03       8.970320778767e+03 
       1.065297608949e-02       9.894820598787e+03 
       1.341130231029e-02       1.055635799378e+04 
       1.688382928364e-02       1.078836807694e+04 
       2.125548150196e-02       1.043066096869e+04 
       2.675890332307e-02       9.417479622912e+03 
       3.366656121949e-02       7.913885974691e+03 
       4.174812847909e-02       6.444841642968e+03 
       4.845224332871e-02       5.620337144129e+03 
       5.333502158212e-02       5.210125779139e+03 
       5.737910415683e-02       4.951006895700e+03 
       6.099820005948e-02       4.753751391385e+03 
       6.437813162235e-02       4.580746001203e+03 
       6.761782965077e-02       4.413004850040e+03 
       7.077686273009e-02       4.240434286129e+03 
       7.389448284757e-02       4.058232744997e+03 
       7.699842267797e-02       3.865267412128e+03 
       8.010941563580e-02       3.663164730771e+03 
       8.324371480182e-02       3.455573628284e+03 
       8.641458889910e-02       3.247507695302e+03 
       8.963325723707e-02       3.044657604010e+03 
       9.290949883744e-02       2.852704453950e+03 
       9.625206312119e-02       2.676689369556e+03 
       9.966895476000e-02       2.520462443629e+03 
       1.031676359049e-01       2.386263637428e+03 
       1.067551724874e-01       2.274497917416e+03 
       1.104383416310e-01       2.183629427619e+03 
