# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -2.068389668759e+00      -1.551292770327e+00      -1.551292770418e+00      -1.550456274520e-01      -2.068389649625e+00      -1.553762800022e+00      -1.551351717908e+00      -6.025388561552e-01       4.832286036603e-01       4.831237928664e-01       1.176444868633e-07       1.177933567353e-07       1.177933626388e-07       1.177933113991e-07       1.176414711728e-07       1.177891458127e-07       1.177919131911e-07       1.177933114006e-07 
       1.341130231029e-05      -2.069108855240e+00      -1.551832892753e+00      -1.551832892850e+00      -1.550604119707e-01      -2.069108806769e+00      -1.554303727582e+00      -1.551891857640e+00      -6.027220088940e-01       4.832393576389e-01       4.831345879340e-01       1.863375267910e-07       1.866938911629e-07       1.866938972296e-07       1.866937810072e-07       1.863299799537e-07       1.866848854224e-07       1.866916375690e-07       1.866937810133e-07 
       1.688382928368e-05      -2.070308709360e+00      -1.552734663249e+00      -1.552734663398e+00      -1.550791987685e-01      -2.070308587382e+00      -1.555206796902e+00      -1.552793655331e+00      -6.030237874333e-01       4.832411539596e-01       4.831364539229e-01       2.949992757447e-07       2.958910654794e-07       2.958910765219e-07       2.958907940961e-07       2.949803288518e-07       2.958702721554e-07       2.958872063603e-07       2.958907941204e-07 
       2.125548173362e-05      -2.072234766485e+00      -1.554184074387e+00      -1.554184074839e+00      -1.551068987104e-01      -2.072234453175e+00      -1.556658146867e+00      -1.554243097079e+00      -6.035071383001e-01       4.832372572331e-01       4.831326729234e-01       4.666894227540e-07       4.689524437355e-07       4.689524765175e-07       4.689517721497e-07       4.666411745334e-07       4.689023881419e-07       4.689456944889e-07       4.689517722466e-07 
       2.675906609438e-05      -2.075240326143e+00      -1.556450361020e+00      -1.556450362189e+00      -1.551537973291e-01      -2.075239531813e+00      -1.558927116285e+00      -1.556509412156e+00      -6.042653386917e-01       4.832413873400e-01       4.831369818964e-01       7.375762977481e-07       7.432456221498e-07       7.432457028990e-07       7.432439586457e-07       7.374546561666e-07       7.431243491845e-07       7.432334411866e-07       7.432439590308e-07 
       3.368766830209e-05      -2.080055700880e+00      -1.560092708807e+00      -1.560092711908e+00      -1.552231918419e-01      -2.080053691902e+00      -1.562572899429e+00      -1.560151739983e+00      -6.054798440522e-01       4.832310453091e-01       4.831269289482e-01       1.163621824899e-06       1.177942780599e-06       1.177942989689e-06       1.177938612891e-06       1.163315375845e-06       1.177642831807e-06       1.177919121911e-06       1.177938614420e-06 
       4.241026168960e-05      -2.087590516153e+00      -1.565820756857e+00      -1.565820764855e+00      -1.553375367498e-01      -2.087585466714e+00      -1.568304145088e+00      -1.565879615716e+00      -6.073933457325e-01       4.832295721371e-01       4.831259070408e-01       1.831020163012e-06       1.866910304609e-06       1.866910834450e-06       1.866899912858e-06       1.830252564357e-06       1.866168366209e-06       1.866862927594e-06       1.866899918920e-06 
       5.339135616187e-05      -2.099461781606e+00      -1.574917734368e+00      -1.574917754935e+00      -1.555168773627e-01      -2.099449088696e+00      -1.577400587321e+00      -1.574975930542e+00      -6.104307263574e-01       4.832209324133e-01       4.831179835391e-01       2.868828737358e-06       2.958809607387e-06       2.958810946457e-06       2.958783628430e-06       2.866908996590e-06       2.956960437540e-06       2.958709224181e-06       2.958783652408e-06 
       6.721573504233e-05      -2.118044857434e+00      -1.589339228124e+00      -1.589339280615e+00      -1.558006705378e-01      -2.118013123412e+00      -1.591807372015e+00      -1.589395434780e+00      -6.152455363864e-01       4.832058187574e-01       4.831039964671e-01       4.464250680240e-06       4.689273992292e-06       4.689277388616e-06       4.689209133458e-06       4.459478724165e-06       4.684656996878e-06       4.689050959854e-06       4.689209227948e-06 
       8.461959691722e-05      -2.146894140871e+00      -1.612182824196e+00      -1.612182955666e+00      -1.562516912904e-01      -2.146815244377e+00      -1.614593121835e+00      -1.612233571762e+00      -6.228731512622e-01       4.831859003994e-01       4.830858408280e-01       6.871242034920e-06       7.431748847806e-06       7.431757343808e-06       7.431587303704e-06       6.859475306408e-06       7.420218422859e-06       7.431235609047e-06       7.431587673932e-06 
