# Matter power spectrum P(k) at redshift z=4
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       3.627994970887e+00 
       1.341130231029e-05       4.261822608654e+00 
       1.688382928368e-05       4.740813675118e+00 
       2.125548173362e-05       5.890240473086e+00 
       2.675906609438e-05       7.435646313071e+00 
       3.368766830209e-05       9.324125058199e+00 
       4.241026168960e-05       1.166339603847e+01 
       5.339135616187e-05       1.464892031588e+01 
       6.721573504233e-05       1.831900242621e+01 
       8.461959691722e-05       2.283445950547e+01 
       1.065297608949e-04       2.846198563704e+01 
       1.341130231029e-04       3.550188816879e+01 
       1.688382928368e-04       4.425695637849e+01 
       2.125548173362e-04       5.518979732705e+01 
       2.675906609438e-04       6.881700296727e+01 
       3.368766830209e-04       8.578369932509e+01 
       4.241026168960e-04       1.068907350812e+02 
       5.339135616187e-04       1.331077493622e+02 
       6.721573504233e-04       1.656031025079e+02 
       8.461959691722e-04       2.057413013602e+02 
       1.065297608949e-03       2.550794625432e+02 
       1.341130231029e-03       3.153208123480e+02 
       1.688382928368e-03       3.882167045657e+02 
       2.125548173362e-03       4.754342380789e+02 
       2.675906609438e-03       5.782721040209e+02 
       3.368766830209e-03       6.972323252813e+02 
       4.241026168960e-03       8.315102787331e+02 
       5.339135616187e-03       9.782857089268e+02 
       6.721573504233e-03       1.131816131094e+03 
       8.461959691722e-03       1.282485028459e+03 
       1.065297608949e-02       1.415842351994e+03 
       1.341130231029e-02       1.512089234252e+03 
       1.688382928364e-02       1.547259263312e+03 
       2.125548150196e-02       1.498287900163e+03 
       2.675890332307e-02       1.355117511878e+03 
       3.366656121949e-02       1.140623102982e+03 
       4.174812847909e-02       9.297627600960e+02 
       4.845224332871e-02       8.108401517721e+02 
       5.333502158212e-02       7.514211867761e+02 
       5.737910415683e-02       7.137372067286e+02 
       6.099820005948e-02       6.849460155798e+02 
       6.437813162235e-02       6.596258465149e+02 
       6.761782965077e-02       6.350374082636e+02 
       7.077686273009e-02       6.097243108028e+02 
       7.389448284757e-02       5.829948469537e+02 
       7.699842267797e-02       5.546882890072e+02 
       8.010941563580e-02       5.250436141100e+02 
       8.324371480182e-02       4.945928230944e+02 
       8.641458889910e-02       4.640654632545e+02 
       8.963325723707e-02       4.342887349083e+02 
       9.290949883744e-02       4.060877326923e+02 
       9.625206312119e-02       3.801939264861e+02 
       9.966895476000e-02       3.571652958163e+02 
       1.031676359049e-01       3.373257589701e+02 
       1.067551724874e-01       3.207329143286e+02 
       1.104383416310e-01       3.071631538150e+02 
       1.142237113752e-01       2.961184847815e+02 
       1.181177002795e-01       2.868647939645e+02 
       1.221266221640e-01       2.784960047914e+02 
       1.262567197402e-01       2.700453227664e+02 
       1.305141898968e-01       2.606362386344e+02 
       1.349052027484e-01       2.496561069190e+02 
       1.394359161201e-01       2.369048412994e+02 
       1.441124868442e-01       2.226629165603e+02 
       1.489410800631e-01       2.076408312042e+02 
       1.539278775987e-01       1.928114456787e+02 
       1.590790863779e-01       1.791694445116e+02 
       1.644009478495e-01       1.674825121213e+02 
       1.698997492987e-01       1.580984854366e+02 
       1.755818379464e-01       1.508554354166e+02 
       1.814536387056e-01       1.451179281927e+02 
       1.875216764605e-01       1.399850969384e+02 
       1.937926037288e-01       1.344622481294e+02 
       2.002732345703e-01       1.278320643105e+02 
       2.069705856216e-01       1.200310699165e+02 
       2.138919251668e-01       1.116182844246e+02 
       2.210448312180e-01       1.034716432937e+02 
       2.284372596770e-01       9.636819898865e+01 
       2.360776238015e-01       9.067729244747e+01 
       2.439748864236e-01       8.623354823259e+01 
       2.521386666777e-01       8.241475434457e+01 
       2.605793634242e-01       7.847193955740e+01 
       2.693082981334e-01       7.396581807575e+01 
       2.783378807602e-01       6.900644198352e+01 
       2.876818031601e-01       6.413850787577e+01 
       2.973552659400e-01       5.991951705568e+01 
       3.073752464211e-01       5.648878542531e+01 
       3.177608177653e-01       5.352756629406e+01 
       3.285335325042e-01       5.056852179058e+01 
       3.397178880384e-01       4.738276007761e+01 
       3.513418976134e-01       4.415365698506e+01 
       3.634377985428e-01       4.121707305952e+01 
       3.760429411182e-01       3.869634489972e+01 
       3.892009183754e-01       3.638835706917e+01 
       4.029630213023e-01       3.406215277554e+01 
       4.173901403592e-01       3.172975177975e+01 
       4.325552892222e-01       2.955653256210e+01 
       4.485470120206e-01       2.758894923860e+01 
       4.654740710103e-01       2.571658991022e+01 
       4.834720332049e-01       2.385932061127e+01 
       5.027127475356e-01       2.208968310417e+01 
       5.234183539439e-01       2.043933872980e+01 
       5.458826421665e-01       1.882616498707e+01 
       5.705048023177e-01       1.726084582855e+01 
       5.978450290190e-01       1.575566456304e+01 
       6.287207309535e-01       1.427089424617e+01 
       6.643829030557e-01       1.280894134528e+01 
       7.068621400517e-01       1.134120308415e+01 
       7.597018663167e-01       9.846520902237e+00 
       8.296366180581e-01       8.287872885812e+00 
       9.305522312713e-01       6.628617174156e+00 
       1.090628146677e+00       4.888652119180e+00 
       1.344459231526e+00       3.311930895124e+00 
       1.690134455615e+00       2.211067818487e+00 
       2.127709730039e+00       1.512632197138e+00 
       2.678627697715e+00       1.063502766209e+00 
       3.372192477317e+00       7.650914519425e-01 
       4.245338803155e+00       5.583406101918e-01 
       5.344564900968e+00       4.088832031110e-01 
       6.728408568812e+00       2.973743529262e-01 
       8.470564528211e+00       2.130348860835e-01 
       1.066380893681e+01       1.495555190346e-01 
       1.342494005706e+01       1.026219442301e-01 
       1.690099818965e+01       6.878247982844e-02 
       2.127709610564e+01       4.505150598264e-02 
       2.678627697658e+01       2.886807950760e-02 
       3.372192477317e+01       1.812159600735e-02 
       4.245338803155e+01       1.116118263817e-02 
       5.344564900968e+01       6.755845719244e-03 
       6.728408568812e+01       4.026169436148e-03 
       8.470564528211e+01       2.367403474269e-03 
       1.066380893681e+02       1.376639413350e-03 
       1.342494005706e+02       7.931915322511e-04 
       1.690099818965e+02       4.534419607451e-04 
       2.127709610564e+02       2.575033219419e-04 
