# Matter power spectrum P(k) at redshift z=3
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       7.407100554852e+00 
       1.341130231029e-05       6.032810791657e+00 
       1.688382928368e-05       7.316484661320e+00 
       2.125548173362e-05       9.494155603160e+00 
       2.675906609438e-05       1.148976251538e+01 
       3.368766830209e-05       1.459350421657e+01 
       4.241026168960e-05       1.815581173656e+01 
       5.339135616187e-05       2.271350541278e+01 
       6.721573504233e-05       2.842533099366e+01 
       8.461959691722e-05       3.548508177377e+01 
       1.065297608949e-04       4.419832083310e+01 
       1.341130231029e-04       5.510013172026e+01 
       1.688382928368e-04       6.867134472565e+01 
       2.125548173362e-04       8.561424929061e+01 
       2.675906609438e-04       1.067352257544e+02 
       3.368766830209e-04       1.330234496838e+02 
       4.241026168960e-04       1.657245737043e+02 
       5.339135616187e-04       2.063269758148e+02 
       6.721573504233e-04       2.566213668311e+02 
       8.461959691722e-04       3.186943327794e+02 
       1.065297608949e-03       3.949196152670e+02 
       1.341130231029e-03       4.878961034420e+02 
       1.688382928368e-03       6.003099993940e+02 
       2.125548173362e-03       7.347203265543e+02 
       2.675906609438e-03       8.930819480038e+02 
       3.368766830209e-03       1.076116035268e+03 
       4.241026168960e-03       1.282564344864e+03 
       5.339135616187e-03       1.508018796350e+03 
       6.721573504233e-03       1.743558632550e+03 
       8.461959691722e-03       1.974311411916e+03 
       1.065297608949e-02       2.178222341584e+03 
       1.341130231029e-02       2.324939954403e+03 
       1.688382928364e-02       2.378210167988e+03 
       2.125548150196e-02       2.302283336213e+03 
       2.675890332307e-02       2.082125882669e+03 
       3.366656121949e-02       1.752739071263e+03 
       4.174812847909e-02       1.429037723451e+03 
       4.845224332871e-02       1.246482781129e+03 
       5.333502158212e-02       1.155269562127e+03 
       5.737910415683e-02       1.097414912171e+03 
       6.099820005948e-02       1.053200183362e+03 
       6.437813162235e-02       1.014298850189e+03 
       6.761782965077e-02       9.765033080747e+02 
       7.077686273009e-02       9.375766319249e+02 
       7.389448284757e-02       8.964570661671e+02 
       7.699842267797e-02       8.528989965847e+02 
       8.010941563580e-02       8.072715631254e+02 
       8.324371480182e-02       7.603949503630e+02 
       8.641458889910e-02       7.133933008618e+02 
       8.963325723707e-02       6.675408764624e+02 
       9.290949883744e-02       6.241085444266e+02 
       9.625206312119e-02       5.842229209847e+02 
       9.966895476000e-02       5.487433799649e+02 
       1.031676359049e-01       5.181687682890e+02 
       1.067551724874e-01       4.925878146570e+02 
       1.104383416310e-01       4.716563605018e+02 
       1.142237113752e-01       4.546080085989e+02 
       1.181177002795e-01       4.403131300923e+02 
       1.221266221640e-01       4.273776838975e+02 
       1.262567197402e-01       4.143144654653e+02 
       1.305141898968e-01       3.997755002514e+02 
       1.349052027484e-01       3.828191072450e+02 
       1.394359161201e-01       3.631385567536e+02 
       1.441124868442e-01       3.411664248068e+02 
       1.489410800631e-01       3.179964498169e+02 
       1.539278775987e-01       2.951252165662e+02 
       1.590790863779e-01       2.740819334505e+02 
       1.644009478495e-01       2.560458360248e+02 
       1.698997492987e-01       2.415501188025e+02 
       1.755818379464e-01       2.303444111176e+02 
       1.814536387056e-01       2.214513140318e+02 
