# Matter power spectrum P(k) at redshift z=2.5
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       9.053444191522e+00 
       1.341130231029e-05       7.913401291509e+00 
       1.688382928368e-05       9.434013531638e+00 
       2.125548173362e-05       1.220168251180e+01 
       2.675906609438e-05       1.475283800876e+01 
       3.368766830209e-05       1.905785455790e+01 
       4.241026168960e-05       2.355219825395e+01 
       5.339135616187e-05       2.942234876409e+01 
       6.721573504233e-05       3.684284262807e+01 
       8.461959691722e-05       4.594339507460e+01 
       1.065297608949e-04       5.724335073824e+01 
       1.341130231029e-04       7.137379595255e+01 
       1.688382928368e-04       8.896238464887e+01 
       2.125548173362e-04       1.109250358113e+02 
       2.675906609438e-04       1.382888885097e+02 
       3.368766830209e-04       1.723510344126e+02 
       4.241026168960e-04       2.147171113082e+02 
       5.339135616187e-04       2.673143799781e+02 
       6.721573504233e-04       3.324575272923e+02 
       8.461959691722e-04       4.128447569310e+02 
       1.065297608949e-03       5.115468181794e+02 
       1.341130231029e-03       6.319320417844e+02 
       1.688382928368e-03       7.774878613761e+02 
       2.125548173362e-03       9.515281477211e+02 
       2.675906609438e-03       1.156572370651e+03 
       3.368766830209e-03       1.393555731973e+03 
       4.241026168960e-03       1.660840368778e+03 
       5.339135616187e-03       1.952711926474e+03 
       6.721573504233e-03       2.257575802191e+03 
       8.461959691722e-03       2.556289661424e+03 
       1.065297608949e-02       2.820177219485e+03 
       1.341130231029e-02       3.010008188528e+03 
       1.688382928364e-02       3.078800447398e+03 
       2.125548150196e-02       2.980326903659e+03 
       2.675890332307e-02       2.695188053992e+03 
       3.366656121949e-02       2.268709253190e+03 
       4.174812847909e-02       1.849642692905e+03 
       4.845224332871e-02       1.613316649225e+03 
       5.333502158212e-02       1.495237642757e+03 
       5.737910415683e-02       1.420342456547e+03 
       6.099820005948e-02       1.363105127426e+03 
       6.437813162235e-02       1.312747297954e+03 
       6.761782965077e-02       1.263822483268e+03 
       7.077686273009e-02       1.213435087236e+03 
       7.389448284757e-02       1.160210720298e+03 
       7.699842267797e-02       1.103831534977e+03 
       8.010941563580e-02       1.044775190487e+03 
       8.324371480182e-02       9.841028935864e+02 
       8.641458889910e-02       9.232694194592e+02 
       8.963325723707e-02       8.639238996434e+02 
       9.290949883744e-02       8.077110024060e+02 
       9.625206312119e-02       7.560886629784e+02 
       9.966895476000e-02       7.101689515682e+02 
       1.031676359049e-01       6.705973862664e+02 
       1.067551724874e-01       6.374887468349e+02 
       1.104383416310e-01       6.103975925774e+02 
       1.142237113752e-01       5.883320486375e+02 
       1.181177002795e-01       5.698301776887e+02 
       1.221266221640e-01       5.530878636537e+02 
       1.262567197402e-01       5.361804288943e+02 
       1.305141898968e-01       5.173633892963e+02 
       1.349052027484e-01       4.954180798700e+02 
       1.394359161201e-01       4.699475704051e+02 
       1.441124868442e-01       4.415116896353e+02 
       1.489410800631e-01       4.115258594761e+02 
       1.539278775987e-01       3.819268157432e+02 
       1.590790863779e-01       3.546935118225e+02 
       1.644009478495e-01       3.313520075834e+02 
       1.698997492987e-01       3.125922562692e+02 
       1.755818379464e-01       2.980901930188e+02 
       1.814536387056e-01       2.865809685951e+02 
       1.875216764605e-01       2.762735406797e+02 
       1.937926037288e-01       2.651914572316e+02 
       2.002732345703e-01       2.519106825188e+02 
       2.069705856216e-01       2.363076656595e+02 
       2.138919251668e-01       2.194950887837e+02 
       2.210448312180e-01       2.032169618892e+02 
       2.284372596770e-01       1.890142965136e+02 
       2.360776238015e-01       1.776173290385e+02 
       2.439748864236e-01       1.686957601523e+02 
       2.521386666777e-01       1.610150113168e+02 
       2.605793634242e-01       1.530914399448e+02 
       2.693082981334e-01       1.440568272310e+02 
       2.783378807602e-01       1.341312814977e+02 
       2.876818031601e-01       1.243937562512e+02 
       2.973552659400e-01       1.159458258748e+02 
