# Matter power spectrum P(k) at redshift z=0.1
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       4.734077941620e+01 
       1.341130231029e-05       5.179267390199e+01 
       1.688382928368e-05       6.423454071951e+01 
       2.125548173362e-05       8.164858407484e+01 
       2.675906609438e-05       1.009054231772e+02 
       3.368766830209e-05       1.278878067916e+02 
       4.241026168960e-05       1.592057876965e+02 
       5.339135616187e-05       1.989788537448e+02 
       6.721573504233e-05       2.486167538653e+02 
       8.461959691722e-05       3.101803864038e+02 
       1.065297608949e-04       3.867935828264e+02 
       1.341130231029e-04       4.824089323511e+02 
       1.688382928368e-04       6.015224019134e+02 
       2.125548173362e-04       7.500581323611e+02 
       2.675906609438e-04       9.350677608786e+02 
       3.368766830209e-04       1.165306107514e+03 
       4.241026168960e-04       1.451516752697e+03 
       5.339135616187e-04       1.806653485946e+03 
       6.721573504233e-04       2.246202330139e+03 
       8.461959691722e-04       2.788305423452e+03 
       1.065297608949e-03       3.453717412317e+03 
       1.341130231029e-03       4.265292733071e+03 
       1.688382928368e-03       5.246557832178e+03 
       2.125548173362e-03       6.419566147825e+03 
       2.675906609438e-03       7.801002197180e+03 
       3.368766830209e-03       9.396756135419e+03 
       4.241026168960e-03       1.119481547295e+04 
       5.339135616187e-03       1.315543899615e+04 
       6.721573504233e-03       1.519980569266e+04 
       8.461959691722e-03       1.719621604253e+04 
       1.065297608949e-02       1.894686845738e+04 
       1.341130231029e-02       2.018603365967e+04 
       1.688382928364e-02       2.059666610546e+04 
       2.125548150196e-02       1.987701002860e+04 
       2.675890332307e-02       1.791372503841e+04 
       3.366656121949e-02       1.503294426931e+04 
       4.174812847909e-02       1.223848658356e+04 
       4.845224332871e-02       1.067921661863e+04 
       5.333502158212e-02       9.907555896364e+03 
       5.737910415683e-02       9.422457773732e+03 
       6.099820005948e-02       9.054598060573e+03 
       6.437813162235e-02       8.732701119917e+03 
       6.761782965077e-02       8.420825388490e+03 
       7.077686273009e-02       8.099861159755e+03 
       7.389448284757e-02       7.760722356424e+03 
       7.699842267797e-02       7.401251286090e+03 
       8.010941563580e-02       7.024507732186e+03 
       8.324371480182e-02       6.637374713770e+03 
       8.641458889910e-02       6.249311391155e+03 
       8.963325723707e-02       5.871055173453e+03 
       9.290949883744e-02       5.513321850337e+03 
       9.625206312119e-02       5.185617559299e+03 
       9.966895476000e-02       4.895191641621e+03 
       1.031676359049e-01       4.646251135811e+03 
       1.067551724874e-01       4.439530479855e+03 
       1.104383416310e-01       4.272097347867e+03 
       1.142237113752e-01       4.137433889689e+03 
       1.181177002795e-01       4.025932746526e+03 
       1.221266221640e-01       3.925731248406e+03 
       1.262567197402e-01       3.824162693094e+03 
       1.305141898968e-01       3.709729188482e+03 
       1.349052027484e-01       3.574370951200e+03 
       1.394359161201e-01       3.415412626839e+03 
       1.441124868442e-01       3.236458416596e+03 
       1.489410800631e-01       3.046740797966e+03 
       1.539278775987e-01       2.858940728526e+03 
       1.590790863779e-01       2.686051678069e+03 
       1.644009478495e-01       2.538125154905e+03 
       1.698997492987e-01       2.419736452397e+03 
       1.755818379464e-01       2.328789410551e+03 
       1.814536387056e-01       2.256978824051e+03 
       1.875216764605e-01       2.192517328686e+03 
       1.937926037288e-01       2.122373596951e+03 
       2.002732345703e-01       2.037146239732e+03 
       2.069705856216e-01       1.936019765592e+03 
       2.138919251668e-01       1.826357052860e+03 
       2.210448312180e-01       1.719722955046e+03 
       2.284372596770e-01       1.626376792113e+03 
       2.360776238015e-01       1.551236858281e+03 
       2.439748864236e-01       1.492192853154e+03 
       2.521386666777e-01       1.441110225417e+03 
       2.605793634242e-01       1.388168522070e+03 
       2.693082981334e-01       1.327610636134e+03 
       2.783378807602e-01       1.260998849424e+03 
       2.876818031601e-01       1.195303512319e+03 
       2.973552659400e-01       1.138218722477e+03 
       3.073752464211e-01       1.091190785266e+03 
       3.177608177653e-01       1.050273239159e+03 
       3.285335325042e-01       1.009342758818e+03 
       3.397178880384e-01       9.653437735171e+02 
       3.513418976134e-01       9.206823171500e+02 
       3.634377985428e-01       8.798002763448e+02 
       3.760429411182e-01       8.443310900138e+02 
       3.892009183754e-01       8.115827335471e+02 
       4.029630213023e-01       7.784927611259e+02 
       4.173901403592e-01       7.452125141329e+02 
       4.325552892222e-01       7.139207016532e+02 
       4.485470120206e-01       6.852205335997e+02 
       4.654740710103e-01       6.576360984663e+02 
       4.834720332049e-01       6.300840076087e+02 
       5.027127475356e-01       6.034994161212e+02 
       5.234183539439e-01       5.782698654650e+02 
       5.458826421665e-01       5.532600601150e+02 
       5.705048023177e-01       5.285501252642e+02 
       5.978450290190e-01       5.042154129895e+02 
       6.287207309535e-01       4.796011293569e+02 
       6.643829030557e-01       4.545437310524e+02 
       7.068621400517e-01       4.283479020079e+02 
       7.597018663167e-01       4.001873064075e+02 
       8.296366180581e-01       3.685537211366e+02 
       9.305522312713e-01       3.309516532955e+02 
       1.090628146677e+00       2.840170185460e+02 
       1.344459231526e+00       2.286749739631e+02 
       1.690134455615e+00       1.752949601716e+02 
       2.127709730039e+00       1.295156636960e+02 
       2.678627697715e+00       9.246634810392e+01 
       3.372192477317e+00       6.405390661104e+01 
       4.245338803155e+00       4.324916705827e+01 
       5.344564900968e+00       2.858437835980e+01 
       6.728408568812e+00       1.855133011897e+01 
       8.470564528211e+00       1.184591313748e+01 
       1.066380893681e+01       7.454870006457e+00 
       1.342494005706e+01       4.629273752852e+00 
       1.690099818965e+01       2.839452070842e+00 
       2.127709610564e+01       1.721939760434e+00 
       2.678627697658e+01       1.033351714106e+00 
       3.372192477317e+01       6.141462067218e-01 
       4.245338803155e+01       3.617867418370e-01 
       5.344564900968e+01       2.114007926613e-01 
       6.728408568812e+01       1.226080121966e-01 
       8.470564528211e+01       7.062675066068e-02 
       1.066380893681e+02       4.042916481497e-02 
       1.342494005706e+02       2.300876488235e-02 
       1.690099818965e+02       1.302599399627e-02 
       2.127709610564e+02       7.341123668805e-03 
