# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.1
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_ncdm[0]              8:d_ncdm[1]              9:d_tot                 10:phi                   11:psi                   12:t_g                   13:t_b                   14:t_cdm                 15:t_fld                 16:t_ur                  17:t_ncdm[0]             18:t_ncdm[1]             19:t_tot              
       1.065297608949e-05      -2.001312901608e+00      -1.500985133104e+00      -1.500985133192e+00      -1.500198127242e-01      -2.001312884182e+00      -1.503875489227e+00      -1.501057542607e+00      -6.619338561924e-01       4.999807195943e-01       4.998603623618e-01       1.180248052678e-07       1.181607631570e-07       1.181607695982e-07       1.181607180102e-07       1.180219225706e-07       1.181564036417e-07       1.181593287076e-07       1.181607180102e-07 
       1.341130231029e-05      -2.001990124355e+00      -1.501493696597e+00      -1.501493696692e+00      -1.500344197105e-01      -2.001990080161e+00      -1.504384979198e+00      -1.501566127761e+00      -6.621356311947e-01       4.999919930268e-01       4.998716796864e-01       1.869511098525e-07       1.872761724456e-07       1.872761790009e-07       1.872760621058e-07       1.869438930870e-07       1.872667840358e-07       1.872739213665e-07       1.872760621058e-07 
       1.688382928368e-05      -2.003126707571e+00      -1.502347791595e+00      -1.502347791739e+00      -1.500531364339e-01      -2.003126596331e+00      -1.505240586080e+00      -1.502420256624e+00      -6.624708906816e-01       4.999938323581e-01       4.998735933610e-01       2.960006540366e-07       2.968139636429e-07       2.968139754892e-07       2.968136915112e-07       2.959825340144e-07       2.967922106336e-07       2.968101132141e-07       2.968136915112e-07 
       2.125548173362e-05      -2.004953560465e+00      -1.503722229917e+00      -1.503722230353e+00      -1.500807474642e-01      -2.004953274508e+00      -1.506617314448e+00      -1.503794737689e+00      -6.630088391619e-01       4.999898085114e-01       4.998696932985e-01       4.683501004889e-07       4.704150897479e-07       4.704151250483e-07       4.704144159015e-07       4.683039276897e-07       4.703624599206e-07       4.704082639698e-07       4.704144159016e-07 
       2.675906609438e-05      -2.007800598863e+00      -1.505868210663e+00      -1.505868211795e+00      -1.501274521063e-01      -2.007799873510e+00      -1.508766531400e+00      -1.505940765102e+00      -6.638509983329e-01       4.999942298347e-01       4.998743058826e-01       7.403901332447e-07       7.455639001609e-07       7.455639870830e-07       7.455622310286e-07       7.402736766260e-07       7.454361582194e-07       7.455515716054e-07       7.455622310290e-07 
       3.368766830209e-05      -2.012369988148e+00      -1.509322474726e+00      -1.509322477733e+00      -1.501966826296e-01      -2.012368152979e+00      -1.512225158811e+00      -1.509395040311e+00      -6.652028810513e-01       4.999834906192e-01       4.998638758395e-01       1.168543648419e-06       1.181617109878e-06       1.181617335073e-06       1.181612926746e-06       1.168250139978e-06       1.181300520607e-06       1.181592869768e-06       1.181612926747e-06 
       4.241026168960e-05      -2.019516620180e+00      -1.514750423390e+00      -1.514750431148e+00      -1.503106032667e-01      -2.019512006193e+00      -1.517657826455e+00      -1.514822867899e+00      -6.673303826297e-01       4.999820541829e-01       4.998629220517e-01       1.839964719678e-06       1.872733864432e-06       1.872734435211e-06       1.872723435100e-06       1.839229214715e-06       1.871949971368e-06       1.872684958956e-06       1.872723435106e-06 
       5.339135616187e-05      -2.030784808532e+00      -1.523372614162e+00      -1.523372634125e+00      -1.504893357372e-01      -2.030773205045e+00      -1.526282078753e+00      -1.523444484431e+00      -6.707084853868e-01       4.999731989510e-01       4.998548332401e-01       2.885858801167e-06       2.968039633136e-06       2.968041075908e-06       2.968013562111e-06       2.884018069887e-06       2.966084367073e-06       2.967935131537e-06       2.968013562135e-06 
       6.721573504233e-05      -2.048439643972e+00      -1.537041794948e+00      -1.537041845906e+00      -1.507721857744e-01      -2.048410619238e+00      -1.539941110917e+00      -1.537111833997e+00      -6.760636250773e-01       4.999576974759e-01       4.998405376730e-01       4.498308489949e-06       4.703903512575e-06       4.703907172979e-06       4.703838441726e-06       4.493728613143e-06       4.699019276915e-06       4.703669657060e-06       4.703838441822e-06 
       8.461959691722e-05      -2.075884757172e+00      -1.558692769894e+00      -1.558692897529e+00      -1.512216625681e-01      -2.075812546071e+00      -1.561542566413e+00      -1.558757643586e+00      -6.845466321077e-01       4.999372777949e-01       4.998220058600e-01       6.942550862927e-06       7.454937070363e-06       7.454946227733e-06       7.454775071874e-06       6.931241509555e-06       7.442735722706e-06       7.454395850466e-06       7.454775072249e-06 
       1.065297608949e-04      -2.118086150189e+00      -1.592995879082e+00      -1.592996198477e+00      -1.519348903398e-01      -2.117907467805e+00      -1.595683324136e+00      -1.593046848637e+00      -6.979873935889e-01       4.999080400436e-01       4.997957111570e-01       1.054391109556e-05       1.181472632934e-05       1.181474921879e-05       1.181432478491e-05       1.051626469228e-05       1.178424005181e-05       1.181344202682e-05       1.181432478637e-05 
