# Matter power spectrum P(k) at redshift z=20
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       7.613730863317e+00 
       1.341130231029e-05       4.473574397572e+00 
       1.688382928368e-05       2.746160054387e+00 
       2.125548173362e-05       1.934751047917e+00 
       2.675906609438e-05       1.500781211144e+00 
       3.368766830209e-05       1.292071671113e+00 
       4.241026168960e-05       1.215572580776e+00 
       5.339135616187e-05       1.259196974976e+00 
       6.721573504233e-05       1.370202782144e+00 
       8.461959691722e-05       1.547154295294e+00 
       1.065297608949e-04       1.807053025902e+00 
       1.341130231029e-04       2.163822183638e+00 
       1.688382928368e-04       2.623983047520e+00 
       2.125548173362e-04       3.217928423506e+00 
       2.675906609438e-04       3.969705822674e+00 
       3.368766830209e-04       4.915607807437e+00 
       4.241026168960e-04       6.100717553280e+00 
       5.339135616187e-04       7.579704824663e+00 
       6.721573504233e-04       9.420179515358e+00 
       8.461959691722e-04       1.170219140041e+01 
       1.065297608949e-03       1.451817675651e+01 
       1.341130231029e-03       1.797002271695e+01 
       1.688382928368e-03       2.216159628104e+01 
       2.125548173362e-03       2.718750009621e+01 
       2.675906609438e-03       3.311459010679e+01 
       3.368766830209e-03       3.996495995944e+01 
       4.241026168960e-03       4.769334468661e+01 
       5.339135616187e-03       5.614187628245e+01 
       6.721573504233e-03       6.497741804824e+01 
       8.461959691722e-03       7.364713427999e+01 
       1.065297608949e-02       8.132430849927e+01 
       1.341130231029e-02       8.687724308437e+01 
       1.688382928364e-02       8.891785250916e+01 
       2.125548150196e-02       8.611933258852e+01 
       2.675890332307e-02       7.792724636605e+01 
       3.366656121949e-02       6.562567351442e+01 
       4.174812847909e-02       5.352151469107e+01 
       4.845224332871e-02       4.669161798152e+01 
       5.333502158212e-02       4.327854905995e+01 
       5.737910415683e-02       4.111353844336e+01 
       6.099820005948e-02       3.945876792403e+01 
       6.437813162235e-02       3.800264176923e+01 
       6.761782965077e-02       3.658769484809e+01 
       7.077686273009e-02       3.513007980791e+01 
       7.389448284757e-02       3.359005509908e+01 
       7.699842267797e-02       3.195848705271e+01 
       8.010941563580e-02       3.024919317218e+01 
       8.324371480182e-02       2.849300201220e+01 
       8.641458889910e-02       2.673208416285e+01 
       8.963325723707e-02       2.501419865163e+01 
       9.290949883744e-02       2.338702547466e+01 
       9.625206312119e-02       2.189277919366e+01 
       9.966895476000e-02       2.056364627767e+01 
       1.031676359049e-01       1.941833582987e+01 
       1.067551724874e-01       1.846016535311e+01 
       1.104383416310e-01       1.767621216098e+01 
       1.142237113752e-01       1.703773238161e+01 
       1.181177002795e-01       1.650237178253e+01 
       1.221266221640e-01       1.601787197577e+01 
       1.262567197402e-01       1.552849998146e+01 
       1.305141898968e-01       1.498375470085e+01 
       1.349052027484e-01       1.434836234919e+01 
       1.394359161201e-01       1.361083201172e+01 
       1.441124868442e-01       1.278737374455e+01 
       1.489410800631e-01       1.191898810152e+01 
       1.539278775987e-01       1.106178193388e+01 
       1.590790863779e-01       1.027308466174e+01 
       1.644009478495e-01       9.597099870754e+00 
       1.698997492987e-01       9.053818337909e+00 
       1.755818379464e-01       8.633868583660e+00 
       1.814536387056e-01       8.300626044719e+00 
       1.875216764605e-01       8.002116642536e+00 
       1.937926037288e-01       7.681148012609e+00 
       2.002732345703e-01       7.296598611673e+00 
       2.069705856216e-01       6.844817585259e+00 
       2.138919251668e-01       6.357921841637e+00 
       2.210448312180e-01       5.886405316159e+00 
       2.284372596770e-01       5.474997823938e+00 
       2.360776238015e-01       5.144913353539e+00 
       2.439748864236e-01       4.886546684529e+00 
       2.521386666777e-01       4.664094495739e+00 
       2.605793634242e-01       4.434585013131e+00 
       2.693082981334e-01       4.172883868842e+00 
       2.783378807602e-01       3.885397044273e+00 
       2.876818031601e-01       3.603370862361e+00 
       2.973552659400e-01       3.358664057686e+00 
       3.073752464211e-01       3.159206434335e+00 
       3.177608177653e-01       2.986751065281e+00 
       3.285335325042e-01       2.814581944089e+00 
       3.397178880384e-01       2.629669930115e+00 
       3.513418976134e-01       2.442502600980e+00 
       3.634377985428e-01       2.272233255401e+00 
       3.760429411182e-01       2.125851344454e+00 
       3.892009183754e-01       1.991799674793e+00 
       4.029630213023e-01       1.856947276611e+00 
       4.173901403592e-01       1.721983935152e+00 
       4.325552892222e-01       1.596314881723e+00 
       4.485470120206e-01       1.482571105481e+00 
       4.654740710103e-01       1.374466253835e+00 
       4.834720332049e-01       1.267515038088e+00 
       5.027127475356e-01       1.165828702102e+00 
       5.234183539439e-01       1.071163988625e+00 
       5.458826421665e-01       9.789412610737e-01 
       5.705048023177e-01       8.897730187153e-01 
       5.978450290190e-01       8.043696446991e-01 
       6.287207309535e-01       7.205527797960e-01 
       6.643829030557e-01       6.385075551676e-01 
       7.068621400517e-01       5.567330870014e-01 
       7.597018663167e-01       4.741928897680e-01 
       8.296366180581e-01       3.890814659067e-01 
       9.305522312713e-01       2.998017922163e-01 
       1.090628146677e+00       2.080641910439e-01 
       1.344459231526e+00       1.275202658331e-01 
       1.690134455615e+00       7.395142297229e-02 
       2.127709730039e+00       4.235601034822e-02 
       2.678627697715e+00       2.406037385376e-02 
       3.372192477317e+00       1.356685253528e-02 
       4.245338803155e+00       7.598646405337e-03 
       5.344564900968e+00       4.229851314779e-03 
       6.728408568812e+00       2.341717441535e-03 
       8.470564528211e+00       1.289718517828e-03 
       1.066380893681e+01       7.070759125653e-04 
       1.342494005706e+01       3.860026479725e-04 
       1.690099818965e+01       2.099254583248e-04 
       2.127709610564e+01       1.137487333454e-04 
       2.678627697658e+01       6.143886378780e-05 
       3.372192477317e+01       3.308080167738e-05 
       4.245338803155e+01       1.776108602569e-05 
       5.344564900968e+01       9.510151004950e-06 
       6.728408568812e+01       5.077667637356e-06 
       8.470564528211e+01       2.703814541490e-06 
       1.066380893681e+02       1.435230000735e-06 
       1.342494005706e+02       7.588620516179e-07 
       1.690099818965e+02       3.994348129309e-07 
       2.127709610564e+02       2.088811299736e-07 
