# Matter power spectrum P(k) at redshift z=6
# for k=1.0653e-05 to 212.771 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065297608949e-05       1.356067718716e+00 
       1.341130231029e-05       1.798980410402e+00 
       1.688382928368e-05       2.180101085754e+00 
       2.125548173362e-05       2.930659715563e+00 
       2.675906609438e-05       3.719928042989e+00 
       3.368766830209e-05       4.747207289147e+00 
       4.241026168960e-05       5.935352966557e+00 
       5.339135616187e-05       7.491836494654e+00 
       6.721573504233e-05       9.388912100022e+00 
       8.461959691722e-05       1.170516470487e+01 
       1.065297608949e-04       1.459066515034e+01 
       1.341130231029e-04       1.819912428533e+01 
       1.688382928368e-04       2.268348954552e+01 
       2.125548173362e-04       2.828748393699e+01 
       2.675906609438e-04       3.527449973978e+01 
       3.368766830209e-04       4.397419382385e+01 
       4.241026168960e-04       5.479911911285e+01 
       5.339135616187e-04       6.824854153758e+01 
       6.721573504233e-04       8.492697563943e+01 
       8.461959691722e-04       1.055408117151e+02 
       1.065297608949e-03       1.308982222243e+02 
       1.341130231029e-03       1.618820181958e+02 
       1.688382928368e-03       1.993929989026e+02 
       2.125548173362e-03       2.442795518005e+02 
       2.675906609438e-03       2.972042195272e+02 
       3.368766830209e-03       3.584348942141e+02 
       4.241026168960e-03       4.275566764239e+02 
       5.339135616187e-03       5.031223335671e+02 
       6.721573504233e-03       5.821866342000e+02 
       8.461959691722e-03       6.598097442341e+02 
       1.065297608949e-02       7.285719560189e+02 
       1.341130231029e-02       7.782985330057e+02 
       1.688382928364e-02       7.966259650185e+02 
       2.125548150196e-02       7.716667568586e+02 
       2.675890332307e-02       6.982258071920e+02 
       3.366656121949e-02       5.880037384818e+02 
       4.174812847909e-02       4.795481732290e+02 
       4.845224332871e-02       4.183539437343e+02 
       5.333502158212e-02       3.877741968930e+02 
       5.737910415683e-02       3.683768005760e+02 
       6.099820005948e-02       3.535510824598e+02 
       6.437813162235e-02       3.405049703141e+02 
       6.761782965077e-02       3.278273206011e+02 
       7.077686273009e-02       3.147678079458e+02 
       7.389448284757e-02       3.009703010949e+02 
       7.699842267797e-02       2.863526215472e+02 
       8.010941563580e-02       2.710389638432e+02 
       8.324371480182e-02       2.553048766463e+02 
       8.641458889910e-02       2.395279508384e+02 
       8.963325723707e-02       2.241361977060e+02 
       9.290949883744e-02       2.095564762224e+02 
       9.625206312119e-02       1.961671751624e+02 
       9.966895476000e-02       1.842569298145e+02 
       1.031676359049e-01       1.739933247374e+02 
       1.067551724874e-01       1.654062141476e+02 
       1.104383416310e-01       1.583800965249e+02 
       1.142237113752e-01       1.526576359763e+02 
       1.181177002795e-01       1.478595059810e+02 
       1.221266221640e-01       1.435175888556e+02 
       1.262567197402e-01       1.391324933497e+02 
       1.305141898968e-01       1.342515856518e+02 
       1.349052027484e-01       1.285586529309e+02 
       1.394359161201e-01       1.219506833539e+02 
       1.441124868442e-01       1.145729315691e+02 
       1.489410800631e-01       1.067927082294e+02 
       1.539278775987e-01       9.911264100593e+01 
       1.590790863779e-01       9.204632643282e+01 
       1.644009478495e-01       8.598982186166e+01 
       1.698997492987e-01       8.112223215327e+01 
       1.755818379464e-01       7.735951181274e+01 
       1.814536387056e-01       7.437344828010e+01 
       1.875216764605e-01       7.169907065122e+01 
       1.937926037288e-01       6.882353956747e+01 
       2.002732345703e-01       6.537750524655e+01 
       2.069705856216e-01       6.132876828737e+01 
       2.138919251668e-01       5.696589985225e+01 
       2.210448312180e-01       5.274149288229e+01 
       2.284372596770e-01       4.905566855889e+01 
       2.360776238015e-01       4.609807270555e+01 
       2.439748864236e-01       4.378292299135e+01 
       2.521386666777e-01       4.178973184183e+01 
       2.605793634242e-01       3.973344228041e+01 
       2.693082981334e-01       3.738874367404e+01 
       2.783378807602e-01       3.481281934607e+01 
       2.876818031601e-01       3.228569463880e+01 
       2.973552659400e-01       3.009319220181e+01 
       3.073752464211e-01       2.830621340548e+01 
       3.177608177653e-01       2.676103467422e+01 
       3.285335325042e-01       2.521836166227e+01 
       3.397178880384e-01       2.356147189752e+01 
       3.513418976134e-01       2.188448731683e+01 
       3.634377985428e-01       2.035896063705e+01 
       3.760429411182e-01       1.904747728987e+01 
       3.892009183754e-01       1.784629921472e+01 
       4.029630213023e-01       1.663794460707e+01 
       4.173901403592e-01       1.542877588808e+01 
       4.325552892222e-01       1.430286031955e+01 
       4.485470120206e-01       1.328361810370e+01 
       4.654740710103e-01       1.231504116136e+01 
       4.834720332049e-01       1.135680979882e+01 
       5.027127475356e-01       1.044566372327e+01 
       5.234183539439e-01       9.597503796776e+00 
       5.458826421665e-01       8.771184687790e+00 
       5.705048023177e-01       7.972256095323e+00 
       5.978450290190e-01       7.207047181378e+00 
       6.287207309535e-01       6.456058782717e+00 
       6.643829030557e-01       5.720946500803e+00 
       7.068621400517e-01       4.988254847764e+00 
       7.597018663167e-01       4.248704928881e+00 
       8.296366180581e-01       3.486116842561e+00 
       9.305522312713e-01       2.686182164696e+00 
       1.090628146677e+00       1.864224829512e+00 
       1.344459231526e+00       1.142561374286e+00 
       1.690134455615e+00       6.625916799864e-01 
       2.127709730039e+00       3.795011734850e-01 
       2.678627697715e+00       2.155750420673e-01 
       3.372192477317e+00       1.215549378578e-01 
       4.245338803155e+00       6.808107121454e-02 
       5.344564900968e+00       3.789755314291e-02 
       6.728408568812e+00       2.098051296145e-02 
       8.470564528211e+00       1.155503911898e-02 
       1.066380893681e+01       6.334854355522e-03 
       1.342494005706e+01       3.458224482249e-03 
       1.690099818965e+01       1.880688933015e-03 
