# Matter power spectrum P(k) at redshift z=1.5
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055772783313e-05       1.085180587970e+01 
       1.329139185993e-05       1.498064177241e+01 
       1.673287097058e-05       1.842444823567e+01 
       2.106543647714e-05       2.289168329823e+01 
       2.651981329161e-05       2.815053437641e+01 
       3.338646686884e-05       3.558574608023e+01 
       4.203107155121e-05       4.478828564736e+01 
       5.291398406075e-05       5.614909249623e+01 
       6.661475917335e-05       7.010132880698e+01 
       8.386301312388e-05       8.745267529193e+01 
       1.055772783313e-04       1.091056098879e+02 
       1.329139185993e-04       1.360755806131e+02 
       1.673287097058e-04       1.696623913209e+02 
       2.106543647714e-04       2.115793514641e+02 
       2.651981329161e-04       2.637731769999e+02 
       3.338646686884e-04       3.287846881122e+02 
       4.203107155121e-04       4.096230885524e+02 
       5.291398406075e-04       5.099922081269e+02 
       6.661475917335e-04       6.343057450234e+02 
       8.386301312388e-04       7.877490501406e+02 
       1.055772783313e-03       9.762411304595e+02 
       1.329139185993e-03       1.206314675280e+03 
       1.673287097058e-03       1.484763811880e+03 
       2.106543647714e-03       1.818050447199e+03 
       2.651981329161e-03       2.211197125583e+03 
       3.338646686884e-03       2.666255334608e+03 
       4.203107155121e-03       3.180364078397e+03 
       5.291398406075e-03       3.743011924531e+03 
       6.661475917335e-03       4.332575973802e+03 
       8.386301312388e-03       4.912699972893e+03 
       1.055772783313e-02       5.428690872001e+03 
       1.329139185993e-02       5.805361708211e+03 
       1.673287097055e-02       5.951505710246e+03 
       2.106543630464e-02       5.777560018040e+03 
       2.651968288901e-02       5.241526416573e+03 
       3.336851896947e-02       4.424584433385e+03 
       4.143681699672e-02       3.605957860325e+03 
       4.823404509118e-02       3.134960152510e+03 
       5.316451176930e-02       2.901432362273e+03 
       5.723119236715e-02       2.754558235732e+03 
       6.086253476325e-02       2.643010832459e+03 
       6.424957644542e-02       2.545318914898e+03 
       6.749344715603e-02       2.450688691329e+03 
       7.065479183495e-02       2.353366617880e+03 
       7.377344927649e-02       2.250604132841e+03 
       7.687749830552e-02       2.141715586387e+03 
       7.998788894043e-02       2.027575433621e+03 
       8.312101603522e-02       1.910203198166e+03 
       8.629024436624e-02       1.792392696419e+03 
       8.950686006107e-02       1.677330292490e+03 
       9.278068955300e-02       1.568210898619e+03 
       9.612051638708e-02       1.467876177651e+03 
       9.953437002553e-02       1.378510097162e+03 
       1.030297307152e-01       1.301408661455e+03 
       1.066136776005e-01       1.236829773471e+03 
       1.102929974112e-01       1.183954810534e+03 
       1.140742651042e-01       1.140905568350e+03 
       1.179639041415e-01       1.104880015854e+03 
       1.219682317317e-01       1.072405802474e+03 
       1.260934928360e-01       1.039753776167e+03 
       1.303458857367e-01       1.003520295108e+03 
       1.347315812958e-01       9.612902805623e+02 
       1.392567375885e-01       9.122278311978e+02 
       1.439275113025e-01       8.573448132241e+02 
       1.487500670968e-01       7.993274140085e+02 
       1.537305859894e-01       7.419033309173e+02 
       1.588752737623e-01       6.889215365744e+02 
       1.641903703228e-01       6.433874482439e+02 
       1.696821609277e-01       6.067108446171e+02 
       1.753569901571e-01       5.783409506110e+02 
       1.812212795127e-01       5.558904909024e+02 
       1.872815495043e-01       5.359071486148e+02 
       1.935444470862e-01       5.145721377806e+02 
       2.000167793067e-01       4.890385288134e+02 
       2.067055540477e-01       4.589662304288e+02 
       2.136180287652e-01       4.264338098649e+02 
       2.207617681994e-01       3.948024709729e+02 
       2.281447121219e-01       3.670986279581e+02 
       2.357752543364e-01       3.448110971123e+02 
       2.436623343696e-01       3.273805595843e+02 
       2.518155435963e-01       3.124668062050e+02 
       2.602452479655e-01       2.971819355489e+02 
       2.689627300654e-01       2.797726797910e+02 
       2.779803540253e-01       2.605819396841e+02 
       2.873117577581e-01       2.416600560505e+02 
       2.969720783784e-01       2.251760880765e+02 
       3.069782183933e-01       2.117357298927e+02 
       3.173491626118e-01       2.001677262727e+02 
       3.281063588685e-01       1.886793228204e+02 
       3.392741799351e-01       1.763419465974e+02 
       3.508804898550e-01       1.638064948801e+02 
       3.629573460968e-01       1.523597498510e+02 
       3.755418804277e-01       1.425177929061e+02 
       3.886774179035e-01       1.335413974013e+02 
       4.024149174211e-01       1.245303944445e+02 
       4.168148529936e-01       1.154950212700e+02 
       4.319497090464e-01       1.070594565412e+02 
       4.479073469010e-01       9.942648276826e+01 
       4.647956327992e-01       9.219255117155e+01 
       4.827489350835e-01       8.503531398322e+01 
       5.019374634823e-01       7.821460759606e+01 
       5.225810589461e-01       7.187207583269e+01 
       5.449701910559e-01       6.570075496433e+01 
       5.694990879330e-01       5.972686578925e+01 
       5.967202222480e-01       5.400911283906e+01 
       6.274383917711e-01       4.840013988994e+01 
       6.628827694619e-01       4.291044753105e+01 
       7.050434828574e-01       3.744248237562e+01 
