# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.75
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.055772783313e-05      -1.746513079895e+00      -1.309885005404e+00      -1.309885005416e+00      -1.746513070864e+00      -1.316198305248e+00      -1.310066502486e+00      -1.310051545349e+00       5.635937854215e-01       5.633687579510e-01       1.103633461884e-07       1.104352084330e-07       1.104352112240e-07       1.103613389633e-07       1.104306940138e-07       1.104338917554e-07       1.104351672329e-07 
       1.329139185993e-05      -1.747052989845e+00      -1.310290265904e+00      -1.310290265983e+00      -1.747052965349e+00      -1.316605476011e+00      -1.310471816164e+00      -1.310456857228e+00       5.635886138339e-01       5.633636502588e-01       1.748387857343e-07       1.750265724293e-07       1.750265830032e-07       1.748334884518e-07       1.750157996765e-07       1.750243155030e-07       1.750264726152e-07 
       1.673287097058e-05      -1.747872450644e+00      -1.310905671046e+00      -1.310905671174e+00      -1.747872387667e+00      -1.317223740829e+00      -1.311087299525e+00      -1.311072340156e+00       5.635893823403e-01       5.633645139694e-01       2.769260086869e-07       2.773987689573e-07       2.773987870276e-07       2.769125243950e-07       2.773731943131e-07       2.773948637139e-07       2.773985181011e-07 
       2.106543647714e-05      -1.749174185022e+00      -1.311884029250e+00      -1.311884029592e+00      -1.749174023350e+00      -1.318206538201e+00      -1.312065774069e+00      -1.312050821655e+00       5.635895975874e-01       5.633648814129e-01       4.384562411897e-07       4.396476777918e-07       4.396477259064e-07       4.384219373205e-07       4.395855460146e-07       4.396406341437e-07       4.396470596951e-07 
       2.651981329161e-05      -1.751218965900e+00      -1.313422859798e+00      -1.313422860721e+00      -1.751218549366e+00      -1.319752059501e+00      -1.313604764779e+00      -1.313589845060e+00       5.635938579264e-01       5.633693858167e-01       6.937992512641e-07       6.967984240944e-07       6.967985406347e-07       6.937118335168e-07       6.966452288933e-07       6.967852980644e-07       6.967968835097e-07 
       3.338646686884e-05      -1.754499089726e+00      -1.315895992956e+00      -1.315895995305e+00      -1.754498047579e+00      -1.322235350968e+00      -1.316078115023e+00      -1.316063285752e+00       5.635891902884e-01       5.633650980975e-01       1.096801171384e-06       1.104344461900e-06       1.104344762086e-06       1.096582274574e-06       1.103966213362e-06       1.104318131697e-06       1.104340622758e-06 
       4.203107155121e-05      -1.759682323950e+00      -1.319816411727e+00      -1.319816417496e+00      -1.759679698626e+00      -1.326170151382e+00      -1.319998743631e+00      -1.319984185251e+00       5.635815151085e-01       5.633580306801e-01       1.731265358724e-06       1.750248748843e-06       1.750249516479e-06       1.730715073028e-06       1.749305314809e-06       1.750192946894e-06       1.750239142196e-06 
       5.291398406075e-05      -1.767852094388e+00      -1.326026750755e+00      -1.326026766708e+00      -1.767845467332e+00      -1.332398995641e+00      -1.326209090352e+00      -1.326195270521e+00       5.635703397531e-01       5.633478178482e-01       2.726224395277e-06       2.773912297085e-06       2.773914256978e-06       2.724842207983e-06       2.771552092889e-06       2.773788642177e-06       2.773888259020e-06 
       6.661475917335e-05      -1.780681266293e+00      -1.335856553083e+00      -1.335856593386e+00      -1.780664649157e+00      -1.342247511980e+00      -1.336038118824e+00      -1.336026213051e+00       5.635568512297e-01       5.633358447928e-01       4.276797939902e-06       4.396266990049e-06       4.396271888992e-06       4.273344293225e-06       4.390364194863e-06       4.395984373627e-06       4.396206868750e-06 
       8.386301312388e-05      -1.800756559339e+00      -1.351432172571e+00      -1.351432273598e+00      -1.800715081929e+00      -1.357826519703e+00      -1.351610568512e+00      -1.351603539148e+00       5.635365120728e-01       5.633178836818e-01       6.668987026070e-06       6.967418123325e-06       6.967430377260e-06       6.660404154593e-06       6.952659909251e-06       6.966751236474e-06       6.967268096831e-06 
       1.055772783313e-04      -1.831942978610e+00      -1.376117143202e+00      -1.376117396454e+00      -1.831839787504e+00      -1.382450772705e+00      -1.376285568763e+00      -1.376290965164e+00       5.635039903580e-01       5.632890920467e-01       1.029886683660e-05       1.104210177445e-05       1.104213245955e-05       1.027766409451e-05       1.100519101041e-05       1.104049702884e-05       1.104172840123e-05 
       1.329139185993e-04      -1.879807435581e+00      -1.415232042903e+00      -1.415232677450e+00      -1.879552136212e+00      -1.421304406027e+00      -1.415372264230e+00      -1.415409140650e+00       5.634539540533e-01       5.632448640829e-01       1.565779679511e-05       1.749931072076e-05       1.749938732950e-05       1.560593651647e-05       1.740707553378e-05       1.749539219884e-05       1.749838586695e-05 
       1.673287097058e-04      -1.951863274374e+00      -1.477206689113e+00      -1.477208269525e+00      -1.951237562229e+00      -1.482455433030e+00      -1.477271304885e+00      -1.477387472113e+00       5.633779359306e-01       5.631777933528e-01       2.320573941818e-05       2.773156461545e-05       2.773175513422e-05       2.308093687055e-05       2.750157637015e-05       2.772190876704e-05       2.772929150381e-05 
       2.106543647714e-04      -2.056978474834e+00      -1.575414335872e+00      -1.575418268103e+00      -2.055466231859e+00      -1.578342389822e+00      -1.575281267460e+00      -1.575597343563e+00       5.632547818796e-01       5.630682089734e-01       3.295916827164e-05       4.394381939588e-05       4.394429072022e-05       3.266649758867e-05       4.337219368085e-05       4.391987253117e-05       4.393830006301e-05 
       2.651981329161e-04      -2.202390773491e+00      -1.730989039486e+00      -1.730998765474e+00      -2.198818958315e+00      -1.727751469981e+00      -1.730348444684e+00      -1.731167098888e+00       5.630657096642e-01       5.628991626833e-01       4.349492572076e-05       6.962730530380e-05       6.962846134376e-05       4.283765931505e-05       6.821467119383e-05       6.956772751409e-05       6.961416342439e-05 
       3.338646686884e-04      -2.385826715880e+00      -1.977405683631e+00      -1.977429527916e+00      -2.377695106939e+00      -1.958381843825e+00      -1.975476007006e+00      -1.977556867547e+00       5.627694743930e-01       5.626312300525e-01       5.005722645314e-05       1.103040437281e-04       1.103068403154e-04       4.868653422644e-05       1.068442614106e-04       1.101555714425e-04       1.102736952082e-04 
       4.203107155121e-04      -2.579989384172e+00      -2.367542182609e+00      -2.367599816141e+00      -2.562550219380e+00      -2.309285243445e+00      -2.362366550357e+00      -2.367610850052e+00       5.623194612738e-01       5.622184313505e-01       4.246245031009e-05       1.747026207145e-04       1.747092461981e-04       3.996689041913e-05       1.663472995896e-04       1.743327756879e-04       1.746358008925e-04 
       5.291398406075e-04      -2.715184184574e+00      -2.984890919446e+00      -2.985027364277e+00      -2.681287008114e+00      -2.832046676362e+00      -2.971604970844e+00      -2.984754183135e+00       5.616455715638e-01       5.615877839069e-01       7.389518606056e-06       2.765978321759e-04       2.766130407526e-04       4.000252027381e-06       2.568478265712e-04       2.756785096514e-04       2.764609905052e-04 
       6.661475917335e-04      -2.694276484062e+00      -3.960994709087e+00      -3.961307617011e+00      -2.638501631151e+00      -3.588457440276e+00      -3.927622652871e+00      -3.960417333628e+00       5.606609663658e-01       5.606431999485e-01      -5.326572224027e-05       4.376871256367e-04       4.377204620609e-04      -5.455870081326e-05       3.924603434603e-04       4.354121259581e-04       4.374344637317e-04 
       8.386301312388e-04      -2.508303116694e+00      -5.502592368081e+00      -5.503276863304e+00      -2.440239340705e+00      -4.644663893701e+00      -5.420053314874e+00      -5.501186713724e+00       5.592549653251e-01       5.592595270285e-01      -8.792880310201e-05       6.920542877315e-04       6.921228594373e-04      -7.912868925271e-05       5.929806354074e-04       6.864673333833e-04       6.916418116323e-04 
       1.055772783313e-03      -2.386939539969e+00      -7.933529999885e+00      -7.934931699009e+00      -2.342342569384e+00      -6.072460724299e+00      -7.732647752487e+00      -7.930687890434e+00       5.572832611210e-01       5.572860622425e-01      -3.633898305568e-05       1.093065178232e-03       1.093195517362e-03      -1.234326480561e-05       8.877331332348e-04       1.079510572274e-03       1.092434118844e-03 
       1.329139185993e-03      -2.467954396431e+00      -1.175892119408e+01      -1.176155647359e+01      -2.468455481715e+00      -7.984941990376e+00      -1.128012649695e+01      -1.175344788291e+01       5.545346110694e-01       5.545301039782e-01      -3.445556638438e-05       1.723920810347e-03       1.724148596370e-03      -1.680305967096e-05       1.320647211468e-03       1.691623304536e-03       1.722860795027e-03 
       1.673287097058e-03      -2.336340037279e+00      -1.776177847404e+01      -1.776628598637e+01      -2.332983677044e+00      -1.059407279959e+01      -1.665297972507e+01      -1.775104212527e+01       5.507179591896e-01       5.507167309223e-01      -9.848132542871e-05       2.713558489064e-03       2.713927046687e-03      -1.088887421427e-04       1.942434293746e-03       2.638454632549e-03       2.711692963973e-03 
       2.106543647714e-03      -2.375710850027e+00      -2.714677193706e+01      -2.715398353282e+01      -2.344602442843e+00      -1.411754108209e+01      -2.467533584531e+01      -2.712593635744e+01       5.455112172117e-01       5.455080635665e-01      -1.460259195685e-05       4.260268717937e-03       4.260831273663e-03      -1.813665839560e-05       2.781062239653e-03       4.090592429846e-03       4.257027268285e-03 
       2.651981329161e-03      -2.223217117826e+00      -4.174880199660e+01      -4.176052609165e+01      -2.215337279476e+00      -1.854154616482e+01      -3.648705598846e+01      -4.170924366329e+01       5.385284003311e-01       5.385269105733e-01      -8.879794664501e-05       6.666041563580e-03       6.666901225724e-03      -6.494818221560e-05       3.867377932152e-03       6.293260033071e-03       6.660204391171e-03 
       3.338646686884e-03      -2.210455594766e+00      -6.432900087133e+01      -6.434982422349e+01      -2.181839003053e+00      -2.382609288083e+01      -5.362789486712e+01      -6.425714276333e+01       5.293396723554e-01       5.293380966017e-01      -1.156309213277e-04       1.038532736063e-02       1.038669576407e-02      -1.280741822727e-04       5.252888975707e-03       9.582960514464e-03       1.037493081138e-02 
       4.203107155121e-03      -2.134409008270e+00      -9.898526668329e+01      -9.902340646213e+01      -2.101165168786e+00      -2.985398714614e+01      -7.798097549488e+01      -9.885798312579e+01       5.174928167258e-01       5.174918055001e-01      -1.521713369477e-04       1.609241770607e-02       1.609457136660e-02      -1.456146803527e-04       6.732547260719e-03       1.438932453501e-02       1.607371248896e-02 
       5.291398406075e-03      -2.052638456472e+00      -1.516816466505e+02      -1.517537836982e+02      -2.020245184591e+00      -3.311142787668e+01      -1.115535737342e+02      -1.514597969109e+02       5.025094493902e-01       5.025092280358e-01      -3.054179127836e-05       2.476862812111e-02       2.477197727215e-02      -3.146128104576e-05       7.252971778241e-03       2.136817226499e-02       2.473501818458e-02 
