# Matter power spectrum P(k) at redshift z=0.25
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055772783313e-05       3.555344511262e+01 
       1.329139185993e-05       4.683839227561e+01 
       1.673287097058e-05       5.802930757217e+01 
       2.106543647714e-05       7.225005746560e+01 
       2.651981329161e-05       8.943379934284e+01 
       3.338646686884e-05       1.123998501056e+02 
       4.203107155121e-05       1.409267936715e+02 
       5.291398406075e-05       1.762787410389e+02 
       6.661475917335e-05       2.200078224560e+02 
       8.386301312388e-05       2.744440125741e+02 
       1.055772783313e-04       3.423537329651e+02 
       1.329139185993e-04       4.269796363797e+02 
       1.673287097058e-04       5.324157577872e+02 
       2.106543647714e-04       6.639137993694e+02 
       2.651981329161e-04       8.276712056928e+02 
       3.338646686884e-04       1.031557125779e+03 
       4.203107155121e-04       1.285027055358e+03 
       5.291398406075e-04       1.599624727370e+03 
       6.661475917335e-04       1.989126758709e+03 
       8.386301312388e-04       2.469720656254e+03 
       1.055772783313e-03       3.059947661386e+03 
       1.329139185993e-03       3.780284668854e+03 
       1.673287097058e-03       4.651930601924e+03 
       2.106543647714e-03       5.694943134799e+03 
       2.651981329161e-03       6.924839356282e+03 
       3.338646686884e-03       8.347692966382e+03 
       4.203107155121e-03       9.954039114355e+03 
       5.291398406075e-03       1.171005370503e+04 
       6.661475917335e-03       1.354671392552e+04 
       8.386301312388e-03       1.534861851928e+04 
       1.055772783313e-02       1.694212729878e+04 
       1.329139185993e-02       1.809019991368e+04 
       1.673287097055e-02       1.850813952100e+04 
       2.106543630464e-02       1.792056416441e+04 
       2.651968288901e-02       1.620996806828e+04 
       3.336851896947e-02       1.364645180463e+04 
       4.143681699672e-02       1.110647348053e+04 
       4.823404509118e-02       9.658631402944e+03 
       5.316451176930e-02       8.946810261774e+03 
       5.723119236715e-02       8.502644262386e+03 
       6.086253476325e-02       8.167655033752e+03 
       6.424957644542e-02       7.875727727056e+03 
       6.749344715603e-02       7.593683585376e+03 
       7.065479183495e-02       7.303840600434e+03 
       7.377344927649e-02       6.997730258429e+03 
       7.687749830552e-02       6.673199261333e+03 
       7.998788894043e-02       6.332859402299e+03 
       8.312101603522e-02       5.982818742207e+03 
       8.629024436624e-02       5.631550962369e+03 
       8.950686006107e-02       5.288733665410e+03 
       9.278068955300e-02       4.964077875188e+03 
       9.612051638708e-02       4.666228035803e+03 
       9.953437002553e-02       4.401832922407e+03 
       1.030297307152e-01       4.174839007006e+03 
       1.066136776005e-01       3.986029518384e+03 
       1.102929974112e-01       3.832900055808e+03 
       1.140742651042e-01       3.709704061169e+03 
       1.179639041415e-01       3.607861554450e+03 
       1.219682317317e-01       3.516730425024e+03 
       1.260934928360e-01       3.424868439565e+03 
       1.303458857367e-01       3.321814555199e+03 
       1.347315812958e-01       3.200119364306e+03 
       1.392567375885e-01       3.057157393088e+03 
       1.439275113025e-01       2.895958427012e+03 
       1.487500670968e-01       2.724689843623e+03 
       1.537305859894e-01       2.554734116518e+03 
       1.588752737623e-01       2.397880295141e+03 
       1.641903703228e-01       2.263365306689e+03 
       1.696821609277e-01       2.155551016363e+03 
       1.753569901571e-01       2.072778574953e+03 
       1.812212795127e-01       2.007727443265e+03 
