# Matter power spectrum P(k) at redshift z=0.1
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055772783313e-05       4.196563873979e+01 
       1.329139185993e-05       5.510723657828e+01 
       1.673287097058e-05       6.829603169269e+01 
       2.106543647714e-05       8.498422095504e+01 
       2.651981329161e-05       1.052500158875e+02 
       3.338646686884e-05       1.321734419298e+02 
       4.203107155121e-05       1.656361420694e+02 
       5.291398406075e-05       2.071181943246e+02 
       6.661475917335e-05       2.584717930836e+02 
       8.386301312388e-05       3.224087189767e+02 
       1.055772783313e-04       4.021701987427e+02 
       1.329139185993e-04       5.015706515986e+02 
       1.673287097058e-04       6.254195101018e+02 
       2.106543647714e-04       7.798680619569e+02 
       2.651981329161e-04       9.722008044693e+02 
       3.338646686884e-04       1.211638394804e+03 
       4.203107155121e-04       1.509270226506e+03 
       5.291398406075e-04       1.878613958898e+03 
       6.661475917335e-04       2.335790440807e+03 
       8.386301312388e-04       2.899723928267e+03 
       1.055772783313e-03       3.592075344539e+03 
       1.329139185993e-03       4.436739952652e+03 
       1.673287097058e-03       5.458401464207e+03 
       2.106543647714e-03       6.680297288648e+03 
       2.651981329161e-03       8.120237304744e+03 
       3.338646686884e-03       9.784941803401e+03 
       4.203107155121e-03       1.166266604314e+04 
       5.291398406075e-03       1.371305453909e+04 
       6.661475917335e-03       1.585527779878e+04 
       8.386301312388e-03       1.795346734185e+04 
       1.055772783313e-02       1.980293008960e+04 
       1.329139185993e-02       2.112754495500e+04 
       1.673287097055e-02       2.159617373628e+04 
       2.106543630464e-02       2.088965176337e+04 
       2.651968288901e-02       1.887763889589e+04 
       3.336851896947e-02       1.587990205330e+04 
       4.143681699672e-02       1.291922725024e+04 
       4.823404509118e-02       1.123529397654e+04 
       5.316451176930e-02       1.040882866750e+04 
       5.723119236715e-02       9.893894666130e+03 
       6.086253476325e-02       9.506018575941e+03 
       6.424957644542e-02       9.168294231738e+03 
       6.749344715603e-02       8.842145122542e+03 
       7.065479183495e-02       8.507017144834e+03 
       7.377344927649e-02       8.153065170599e+03 
       7.687749830552e-02       7.777779970150e+03 
       7.998788894043e-02       7.384182225848e+03 
       8.312101603522e-02       6.979360355004e+03 
       8.629024436624e-02       6.573131378016e+03 
       8.950686006107e-02       6.176717202182e+03 
       9.278068955300e-02       5.801372413793e+03 
       9.612051638708e-02       5.457111352849e+03 
       9.953437002553e-02       5.151630183171e+03 
       1.030297307152e-01       4.889488702084e+03 
       1.066136776005e-01       4.671575545584e+03 
       1.102929974112e-01       4.494967441592e+03 
       1.140742651042e-01       4.352982260414e+03 
       1.179639041415e-01       4.235657127231e+03 
       1.219682317317e-01       4.130641951483e+03 
       1.260934928360e-01       4.024664730602e+03 
       1.303458857367e-01       3.905597198303e+03 
       1.347315812958e-01       3.764807635112e+03 
       1.392567375885e-01       3.599260746241e+03 
       1.439275113025e-01       3.412478449685e+03 
       1.487500670968e-01       3.213936288040e+03 
       1.537305859894e-01       3.016831477899e+03 
       1.588752737623e-01       2.834825412970e+03 
       1.641903703228e-01       2.678616478093e+03 
       1.696821609277e-01       2.553253663203e+03 
       1.753569901571e-01       2.456816331045e+03 
       1.812212795127e-01       2.380836927317e+03 
       1.872815495043e-01       2.313041426723e+03 
       1.935444470862e-01       2.239833502857e+03 
       2.000167793067e-01       2.151068270402e+03 
       2.067055540477e-01       2.045540541127e+03 
       2.136180287652e-01       1.930686126349e+03 
       2.207617681994e-01       1.818547358468e+03 
       2.281447121219e-01       1.720005461088e+03 
       2.357752543364e-01       1.640468112386e+03 
       2.436623343696e-01       1.578011751923e+03 
       2.518155435963e-01       1.524309242717e+03 
       2.602452479655e-01       1.469039253980e+03 
       2.689627300654e-01       1.406048401779e+03 
       2.779803540253e-01       1.336278472641e+03 
       2.873117577581e-01       1.267513584831e+03 
       2.969720783784e-01       1.207059630329e+03 
       3.069782183933e-01       1.157441003035e+03 
