# Matter power spectrum P(k) at redshift z=0
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055772783313e-05       4.662350485823e+01 
       1.329139185993e-05       6.123429033345e+01 
       1.673287097058e-05       7.597899580924e+01 
       2.106543647714e-05       9.455204813329e+01 
       2.651981329161e-05       1.172024693150e+02 
       3.338646686884e-05       1.471426824435e+02 
       4.203107155121e-05       1.843675386736e+02 
       5.291398406075e-05       2.305188452011e+02 
       6.661475917335e-05       2.876731715976e+02 
       8.386301312388e-05       3.588365805016e+02 
       1.055772783313e-04       4.476103703041e+02 
       1.329139185993e-04       5.582441321560e+02 
       1.673287097058e-04       6.960923445281e+02 
       2.106543647714e-04       8.679911950675e+02 
       2.651981329161e-04       1.082055393803e+03 
       3.338646686884e-04       1.348539147614e+03 
       4.203107155121e-04       1.679786628186e+03 
       5.291398406075e-04       2.090839025663e+03 
       6.661475917335e-04       2.599639436676e+03 
       8.386301312388e-04       3.227256685076e+03 
       1.055772783313e-03       3.997815302069e+03 
       1.329139185993e-03       4.937932958168e+03 
       1.673287097058e-03       6.075124367040e+03 
       2.106543647714e-03       7.435343363610e+03 
       2.651981329161e-03       9.038592145081e+03 
       3.338646686884e-03       1.089268533379e+04 
       4.203107155121e-03       1.298515817359e+04 
       5.291398406075e-03       1.527221526902e+04 
       6.661475917335e-03       1.766565102308e+04 
       8.386301312388e-03       2.001677885974e+04 
       1.055772783313e-02       2.210128034291e+04 
       1.329139185993e-02       2.361502018125e+04 
       1.673287097055e-02       2.418966327957e+04 
       2.106543630464e-02       2.346241295349e+04 
       2.651968288901e-02       2.126908663764e+04 
       3.336851896947e-02       1.794176094219e+04 
       4.143681699672e-02       1.461414036165e+04 
       4.823404509118e-02       1.270110551750e+04 
       5.316451176930e-02       1.175281399947e+04 
       5.723119236715e-02       1.115644713406e+04 
       6.086253476325e-02       1.070360467290e+04 
       6.424957644542e-02       1.030713707124e+04 
       6.749344715603e-02       9.923251930070e+03 
       7.065479183495e-02       9.528605952370e+03 
       7.377344927649e-02       9.112041204859e+03 
       7.687749830552e-02       8.670766894492e+03 
       7.998788894043e-02       8.208307222191e+03 
       8.312101603522e-02       7.732840277846e+03 
       8.629024436624e-02       7.255653350140e+03 
       8.950686006107e-02       6.789647245066e+03 
       9.278068955300e-02       6.347740190191e+03 
       9.612051638708e-02       5.941428987273e+03 
       9.953437002553e-02       5.579546841159e+03 
       1.030297307152e-01       5.267333553973e+03 
       1.066136776005e-01       5.005826194516e+03 
       1.102929974112e-01       4.791706767759e+03 
       1.140742651042e-01       4.617369349554e+03 
       1.179639041415e-01       4.471471694224e+03 
       1.219682317317e-01       4.339959093446e+03 
       1.260934928360e-01       4.207737773219e+03 
       1.303458857367e-01       4.061033733660e+03 
       1.347315812958e-01       3.890072998417e+03 
       1.392567375885e-01       3.691473432338e+03 
       1.439275113025e-01       3.469330039482e+03 
       1.487500670968e-01       3.234512720750e+03 
       1.537305859894e-01       3.002105209843e+03 
       1.588752737623e-01       2.787680936875e+03 
       1.641903703228e-01       2.603399647506e+03 
       1.696821609277e-01       2.454964409994e+03 
       1.753569901571e-01       2.340144729173e+03 
       1.812212795127e-01       2.249279730659e+03 
       1.872815495043e-01       2.168401504042e+03 
       1.935444470862e-01       2.082057439039e+03 
       2.000167793067e-01       1.978725631177e+03 
       2.067055540477e-01       1.857031553837e+03 
       2.136180287652e-01       1.725387724373e+03 
       2.207617681994e-01       1.597394272114e+03 
       2.281447121219e-01       1.485293991738e+03 
       2.357752543364e-01       1.395108863067e+03 
       2.436623343696e-01       1.324576160715e+03 
       2.518155435963e-01       1.264227989968e+03 
       2.602452479655e-01       1.202379853935e+03 
       2.689627300654e-01       1.131937820512e+03 
       2.779803540253e-01       1.054288629627e+03 
       2.873117577581e-01       9.777277762730e+02 
       2.969720783784e-01       9.110319089568e+02 
       3.069782183933e-01       8.566510412580e+02 
       3.173491626118e-01       8.098456181898e+02 
       3.281063588685e-01       7.633626102352e+02 
       3.392741799351e-01       7.134452084639e+02 
       3.508804898550e-01       6.627272071658e+02 
       3.629573460968e-01       6.164144295210e+02 
       3.755418804277e-01       5.765946452431e+02 
       3.886774179035e-01       5.402765415429e+02 
       4.024149174211e-01       5.038186595798e+02 
       4.168148529936e-01       4.672629490792e+02 
       4.319497090464e-01       4.331340860676e+02 
       4.479073469010e-01       4.022519490974e+02 
       4.647956327992e-01       3.729847862168e+02 
       4.827489350835e-01       3.440281112086e+02 
       5.019374634823e-01       3.164328087414e+02 
       5.225810589461e-01       2.907723857273e+02 
       5.449701910559e-01       2.658046307868e+02 
       5.694990879330e-01       2.416357802305e+02 
       5.967202222480e-01       2.185032222588e+02 
       6.274383917711e-01       1.958108480170e+02 
       6.628827694619e-01       1.736011231367e+02 
       7.050434828574e-01       1.514793492248e+02 
       7.573826324241e-01       1.291662643659e+02 
       8.264573875107e-01       1.061770382665e+02 
       9.257548230965e-01       8.207026005139e+01 
       1.082796239762e+00       5.723751328368e+01 
       1.332734404789e+00       3.521926317898e+01 
       1.675045845447e+00       2.044166207602e+01 
       2.108705412281e+00       1.171208290226e+01 
       2.654702635419e+00       6.655082845852e+00 
       3.342072608385e+00       3.753575482163e+00 
       4.207420134757e+00       2.102839400214e+00 
       5.296828125740e+00       1.170811818477e+00 
       6.668311529400e+00       6.483023273925e-01 
       8.394906838122e+00       3.571088390403e-01 
       1.056856154816e+01       1.958005983532e-01 
       1.330503069908e+01       1.068934105001e-01 
       1.675004125178e+01       5.813136563735e-02 
       2.108705258046e+01       3.149295277736e-02 
       2.654702635339e+01       1.700423647620e-02 
       3.342072608385e+01       9.149793956828e-03 
       4.207420134757e+01       4.907151818523e-03 
       5.296828125740e+01       2.622732201444e-03 
       6.668311529400e+01       1.396306393594e-03 
       8.394906838122e+01       7.400737109651e-04 
       1.056856154816e+02       3.899879888822e-04 
       1.330503069908e+02       2.038660825438e-04 
       1.675004125178e+02       1.054541196825e-04 
       2.108705258046e+02       5.371488944257e-05 
