# Matter power spectrum P(k) at redshift z=50
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055772783313e-05       1.879790365524e-04 
       1.329139185993e-05       5.981770140354e-03 
       1.673287097058e-05       1.495379923413e-02 
       2.106543647714e-05       3.011492358718e-02 
       2.651981329161e-05       6.083348838680e-02 
       3.338646686884e-05       7.087390475384e-02 
       4.203107155121e-05       9.708518587412e-02 
       5.291398406075e-05       1.316515037304e-01 
       6.661475917335e-05       1.688957776724e-01 
       8.386301312388e-05       2.100410426654e-01 
       1.055772783313e-04       2.617444717383e-01 
       1.329139185993e-04       3.269606474661e-01 
       1.673287097058e-04       4.064622832356e-01 
       2.106543647714e-04       5.070098521873e-01 
       2.651981329161e-04       6.322634588634e-01 
       3.338646686884e-04       7.884396305421e-01 
       4.203107155121e-04       9.830519938581e-01 
       5.291398406075e-04       1.225398063393e+00 
       6.661475917335e-04       1.526924837267e+00 
       8.386301312388e-04       1.901369191010e+00 
       1.055772783313e-03       2.365179324879e+00 
       1.329139185993e-03       2.937380738506e+00 
       1.673287097058e-03       3.638820987443e+00 
       2.106543647714e-03       4.490774322208e+00 
       2.651981329161e-03       5.510639561827e+00 
       3.338646686884e-03       6.706301571069e+00 
       4.203107155121e-03       8.067701823099e+00 
       5.291398406075e-03       9.559517996093e+00 
       6.661475917335e-03       1.111812984142e+01 
       8.386301312388e-03       1.264924926393e+01 
       1.055772783313e-02       1.401383864603e+01 
       1.329139185993e-02       1.501551235553e+01 
       1.673287097055e-02       1.541611736455e+01 
       2.106543630464e-02       1.498112477318e+01 
       2.651968288901e-02       1.360171187439e+01 
       3.336851896947e-02       1.148805998860e+01 
       4.143681699672e-02       9.365798100923e+00 
       4.823404509118e-02       8.143689585579e+00 
       5.316451176930e-02       7.537492800798e+00 
       5.723119236715e-02       7.156147391459e+00 
       6.086253476325e-02       6.866494314572e+00 
       6.424957644542e-02       6.612808108704e+00 
       6.749344715603e-02       6.367057584737e+00 
       7.065479183495e-02       6.114289730152e+00 
       7.377344927649e-02       5.847356133722e+00 
       7.687749830552e-02       5.564474710779e+00 
       7.998788894043e-02       5.267926549789e+00 
       8.312101603522e-02       4.962974119349e+00 
       8.629024436624e-02       4.656892031244e+00 
       8.950686006107e-02       4.357969443646e+00 
       9.278068955300e-02       4.074510224820e+00 
       9.612051638708e-02       3.813894445912e+00 
       9.953437002553e-02       3.581791373549e+00 
       1.030297307152e-01       3.381563453951e+00 
       1.066136776005e-01       3.213875728358e+00 
       1.102929974112e-01       3.076593263776e+00 
       1.140742651042e-01       2.964824923890e+00 
       1.179639041415e-01       2.871279437096e+00 
       1.219682317317e-01       2.786930702414e+00 
       1.260934928360e-01       2.702095407607e+00 
       1.303458857367e-01       2.607942257788e+00 
       1.347315812958e-01       2.498205832296e+00 
       1.392567375885e-01       2.370715166689e+00 
       1.439275113025e-01       2.228095382555e+00 
       1.487500670968e-01       2.077324223991e+00 
       1.537305859894e-01       1.928089972082e+00 
       1.588752737623e-01       1.790395715471e+00 
       1.641903703228e-01       1.672050499499e+00 
       1.696821609277e-01       1.576719786451e+00 
       1.753569901571e-01       1.502980468933e+00 
       1.812212795127e-01       1.444637564615e+00 
       1.872815495043e-01       1.392680405485e+00 
       1.935444470862e-01       1.337206519958e+00 
       2.000167793067e-01       1.270884190816e+00 
       2.067055540477e-01       1.192796482920e+00 
       2.136180287652e-01       1.108285664642e+00 
       2.207617681994e-01       1.026068644896e+00 
       2.281447121219e-01       9.540499707635e-01 
       2.357752543364e-01       8.961290608369e-01 
       2.436623343696e-01       8.508372471738e-01 
       2.518155435963e-01       8.120759365052e-01 
       2.602452479655e-01       7.723442081227e-01 
       2.689627300654e-01       7.270936271305e-01 
       2.779803540253e-01       6.772277049311e-01 
       2.873117577581e-01       6.280688806626e-01 
       2.969720783784e-01       5.852271097595e-01 
       3.069782183933e-01       5.502853050967e-01 
       3.173491626118e-01       5.202181565504e-01 
       3.281063588685e-01       4.903636186703e-01 
       3.392741799351e-01       4.583076097757e-01 
       3.508804898550e-01       4.257298994756e-01 
       3.629573460968e-01       3.959766832934e-01 
       3.755418804277e-01       3.703916716935e-01 
       3.886774179035e-01       3.470673133769e-01 
       4.024149174211e-01       3.236550288370e-01 
       4.168148529936e-01       3.001677190579e-01 
       4.319497090464e-01       2.782394832784e-01 
       4.479073469010e-01       2.584088203673e-01 
       4.647956327992e-01       2.396063856381e-01 
       4.827489350835e-01       2.210023945811e-01 
       5.019374634823e-01       2.032790639342e-01 
       5.225810589461e-01       1.867933032812e-01 
       5.449701910559e-01       1.707551890440e-01 
       5.694990879330e-01       1.552287622094e-01 
       5.967202222480e-01       1.403688063330e-01 
       6.274383917711e-01       1.257912494093e-01 
       6.628827694619e-01       1.115234550570e-01 
       7.050434828574e-01       9.731253541937e-02 
       7.573826324241e-01       8.297845957287e-02 
       8.264573875107e-01       6.820993775672e-02 
