# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       1.055772783313e-05      -1.573303796299e+00      -1.179977846930e+00      -1.179977846920e+00      -1.573303796315e+00      -1.528771005077e+00      -1.278091063129e+00      -1.185332524043e+00       6.066814337548e-01       5.987233655135e-01       2.164553952078e-08       2.164533622042e-08       2.164533490209e-08       2.164554004007e-08       2.164555371183e-08       2.164530155655e-08       2.164533844163e-08 
       1.329139185993e-05      -1.573325357540e+00      -1.179994018029e+00      -1.179994018016e+00      -1.573325357543e+00      -1.528791956519e+00      -1.278108579051e+00      -1.185348768532e+00       6.066803614814e-01       5.987224004171e-01       3.430521828168e-08       3.430549028168e-08       3.430548918031e-08       3.430520232368e-08       3.430525278765e-08       3.430516314908e-08       3.430548331323e-08 
       1.673287097058e-05      -1.573351945411e+00      -1.180013959237e+00      -1.180013959215e+00      -1.573351945381e+00      -1.528817792185e+00      -1.278130178010e+00      -1.185368800210e+00       6.066805581565e-01       5.987226757946e-01       5.436925347143e-08       5.437056968409e-08       5.437056744734e-08       5.436919771560e-08       5.436932340362e-08       5.436965359520e-08       5.437054140360e-08 
       2.106543647714e-05      -1.573398062721e+00      -1.180048548614e+00      -1.180048548579e+00      -1.573398062576e+00      -1.528862604658e+00      -1.278167642405e+00      -1.185403546505e+00       6.066798749461e-01       5.987221579279e-01       8.616674748836e-08       8.617149944908e-08       8.617149531249e-08       8.616657616055e-08       8.616690981373e-08       8.616883359091e-08       8.617140341416e-08 
       2.651981329161e-05      -1.573483714286e+00      -1.180112793615e+00      -1.180112793596e+00      -1.573483713690e+00      -1.528945833129e+00      -1.278237225423e+00      -1.185468082954e+00       6.066756503900e-01       5.987183599562e-01       1.365549514877e-07       1.365718186839e-07       1.365718173764e-07       1.365544149023e-07       1.365553972057e-07       1.365632267594e-07       1.365714927560e-07 
       3.338646686884e-05      -1.573588087162e+00      -1.180191083685e+00      -1.180191083634e+00      -1.573588085696e+00      -1.529047253174e+00      -1.278322018457e+00      -1.185546728067e+00       6.066767991696e-01       5.987198093917e-01       2.164119122884e-07       2.164523435301e-07       2.164523388504e-07       2.164105804464e-07       2.164128476722e-07       2.164325804256e-07       2.164515643408e-07 
       4.203107155121e-05      -1.573773466696e+00      -1.180330152272e+00      -1.180330151978e+00      -1.573773463243e+00      -1.529227387867e+00      -1.278472627580e+00      -1.185686426866e+00       6.066736237211e-01       5.987173592575e-01       3.429440620044e-07       3.430527808959e-07       3.430527272501e-07       3.429408487927e-07       3.429466593064e-07       3.430010838758e-07       3.430506595644e-07 
       5.291398406075e-05      -1.574073638578e+00      -1.180555370710e+00      -1.180555370927e+00      -1.574073627389e+00      -1.529519064169e+00      -1.278716511045e+00      -1.185912665976e+00       6.066669866638e-01       5.987119253703e-01       5.434100056721e-07       5.436977440745e-07       5.436977812435e-07       5.434007341097e-07       5.434157248925e-07       5.435624892708e-07       5.436922801468e-07 
       6.661475917335e-05      -1.574540202092e+00      -1.180905518592e+00      -1.180905519342e+00      -1.574540173297e+00      -1.529972420372e+00      -1.279095617819e+00      -1.186264398735e+00       6.066587334096e-01       5.987054818649e-01       8.609590872176e-07       8.616953758022e-07       8.616954933669e-07       8.609354919751e-07       8.609732756253e-07       8.613524428778e-07       8.616814266439e-07 
       8.386301312388e-05      -1.575266365696e+00      -1.181450692901e+00      -1.181450694851e+00      -1.575266293215e+00      -1.530678019958e+00      -1.279685742372e+00      -1.186812036934e+00       6.066489095734e-01       5.986983723881e-01       1.363837785608e-06       1.365683101111e-06       1.365683404396e-06       1.363778477869e-06       1.363872464360e-06       1.364829267283e-06       1.365648171493e-06 
       1.055772783313e-04      -1.576417478521e+00      -1.182315413547e+00      -1.182315418452e+00      -1.576417296358e+00      -1.531796514064e+00      -1.280621406089e+00      -1.187680656200e+00       6.066331094791e-01       5.986868839505e-01       2.159799856924e-06       2.164430840849e-06       2.164431598977e-06       2.159650945885e-06       2.159885637572e-06       2.162296990653e-06       2.164343216967e-06 
       1.329139185993e-04      -1.578243342763e+00      -1.183688302093e+00      -1.183688315148e+00      -1.578242883486e+00      -1.533570586138e+00      -1.282106033806e+00      -1.189059711286e+00       6.066072558625e-01       5.986678969893e-01       3.418671193220e-06       3.430309442095e-06       3.430311457211e-06       3.418296732668e-06       3.418884531721e-06       3.424960029732e-06       3.430089377558e-06 
       1.673287097058e-04      -1.581122096089e+00      -1.185856073784e+00      -1.185856104107e+00      -1.581120950547e+00      -1.536367556289e+00      -1.284448032534e+00      -1.191237159053e+00       6.065689616966e-01       5.986403541156e-01       5.407338269009e-06       5.436489969654e-06       5.436494663608e-06       5.406402858613e-06       5.407872124482e-06       5.423114882659e-06       5.435938572345e-06 
       2.106543647714e-04      -1.585682111713e+00      -1.189297987140e+00      -1.189298064113e+00      -1.585679236926e+00      -1.540797696418e+00      -1.288160976805e+00      -1.194694288665e+00       6.065061199039e-01       5.985946306566e-01       8.542610730992e-06       8.615764311519e-06       8.615776214218e-06       8.540268149354e-06       8.543948748332e-06       8.582229556934e-06       8.614380873759e-06 
       2.651981329161e-04      -1.592880213133e+00      -1.194751493125e+00      -1.194751685204e+00      -1.592873015050e+00      -1.547789978003e+00      -1.294029898946e+00      -1.200171529878e+00       6.064068687117e-01       5.985224429315e-01       1.347039696396e-05       1.365383720591e-05       1.365386692735e-05       1.346454622296e-05       1.347376145801e-05       1.356977670576e-05       1.365036822287e-05 
       3.338646686884e-04      -1.604218659521e+00      -1.203393017603e+00      -1.203393500185e+00      -1.604200654693e+00      -1.558802189743e+00      -1.303294558490e+00      -1.208849732275e+00       6.062496935428e-01       5.984080275306e-01       2.117720549654e-05       2.163678451492e-05       2.163685916057e-05       2.116263524492e-05       2.118568357205e-05       2.142616787252e-05       2.162809400691e-05 
       4.203107155121e-04      -1.622013674551e+00      -1.217084047886e+00      -1.217085239632e+00      -1.621968797809e+00      -1.576080215378e+00      -1.317884958079e+00      -1.222596523754e+00       6.060011132813e-01       5.982268777642e-01       3.313454197395e-05       3.428424084657e-05       3.428442398912e-05       3.309846503249e-05       3.315599563452e-05       3.375707748764e-05       3.426249781732e-05 
       5.291398406075e-04      -1.649780245775e+00      -1.238770385269e+00      -1.238773376972e+00      -1.649668734796e+00      -1.603027705433e+00      -1.340776664033e+00      -1.244365383668e+00       6.056085337429e-01       5.979402964150e-01       5.144823657403e-05       5.431740082344e-05       5.431786047436e-05       5.135958963205e-05       5.150270502060e-05       5.300035213341e-05       5.426314114926e-05 
       6.661475917335e-04      -1.692705989263e+00      -1.273110402356e+00      -1.273117972215e+00      -1.692430541307e+00      -1.644656919577e+00      -1.376480500513e+00      -1.278821730166e+00       6.049895404611e-01       5.974871499354e-01       7.890536230952e-05       8.603842757154e-05       8.603959470513e-05       7.869036244674e-05       7.904443542443e-05       8.275771032642e-05       8.590354765652e-05 
