# Matter power spectrum P(k) at redshift z=10
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055772783313e-05       4.012916442166e-01 
       1.329139185993e-05       6.026243871613e-01 
       1.673287097058e-05       8.211372876267e-01 
       2.106543647714e-05       1.118607444323e+00 
       2.651981329161e-05       1.508918394092e+00 
       3.338646686884e-05       1.868629429054e+00 
       4.203107155121e-05       2.366770080955e+00 
       5.291398406075e-05       2.999675947961e+00 
       6.661475917335e-05       3.767713297927e+00 
       8.386301312388e-05       4.695073943118e+00 
       1.055772783313e-04       5.856946067443e+00 
       1.329139185993e-04       7.307485726908e+00 
       1.673287097058e-04       9.105610168054e+00 
       2.106543647714e-04       1.135722662351e+01 
       2.651981329161e-04       1.416097593430e+01 
       3.338646686884e-04       1.765477299491e+01 
       4.203107155121e-04       2.200404794152e+01 
       5.291398406075e-04       2.741140410349e+01 
       6.661475917335e-04       3.412145904653e+01 
       8.386301312388e-04       4.242415781927e+01 
       1.055772783313e-03       5.265312529452e+01 
       1.329139185993e-03       6.517472740233e+01 
       1.673287097058e-03       8.036283176665e+01 
       2.106543647714e-03       9.856388990602e+01 
       2.651981329161e-03       1.200408378419e+02 
       3.338646686884e-03       1.449045419782e+02 
       4.203107155121e-03       1.730038571771e+02 
       5.291398406075e-03       2.037652752641e+02 
       6.661475917335e-03       2.360189352344e+02 
       8.386301312388e-03       2.677859052051e+02 
       1.055772783313e-02       2.960824836765e+02 
       1.329139185993e-02       3.168078421689e+02 
       1.673287097055e-02       3.249311256048e+02 
       2.106543630464e-02       3.155340807338e+02 
       2.651968288901e-02       2.863387008336e+02 
       3.336851896947e-02       2.417596925149e+02 
       4.143681699672e-02       1.970577537275e+02 
       4.823404509118e-02       1.713314806473e+02 
       5.316451176930e-02       1.585747921818e+02 
       5.723119236715e-02       1.505512464531e+02 
       6.086253476325e-02       1.444572340628e+02 
       6.424957644542e-02       1.391197942503e+02 
       6.749344715603e-02       1.339491803317e+02 
       7.065479183495e-02       1.286309947432e+02 
       7.377344927649e-02       1.230150464160e+02 
       7.687749830552e-02       1.170639122673e+02 
       7.998788894043e-02       1.108254734256e+02 
       8.312101603522e-02       1.044102212104e+02 
       8.629024436624e-02       9.797096621581e+01 
       8.950686006107e-02       9.168194992208e+01 
       9.278068955300e-02       8.571784715449e+01 
       9.612051638708e-02       8.023399415529e+01 
       9.953437002553e-02       7.534976263400e+01 
       1.030297307152e-01       7.113598104175e+01 
       1.066136776005e-01       6.760672693567e+01 
       1.102929974112e-01       6.471721649216e+01 
       1.140742651042e-01       6.236473032608e+01 
       1.179639041415e-01       6.039604778989e+01 
       1.219682317317e-01       5.862133086399e+01 
       1.260934928360e-01       5.683674263340e+01 
       1.303458857367e-01       5.485626717372e+01 
       1.347315812958e-01       5.254792401080e+01 
       1.392567375885e-01       4.986603287696e+01 
       1.439275113025e-01       4.686590945941e+01 
       1.487500670968e-01       4.369440757682e+01 
       1.537305859894e-01       4.055532971236e+01 
       1.588752737623e-01       3.765910033188e+01 
       1.641903703228e-01       3.517001398781e+01 
       1.696821609277e-01       3.316514013234e+01 
       1.753569901571e-01       3.161438881017e+01 
       1.812212795127e-01       3.038727370589e+01 
       1.872815495043e-01       2.929490710017e+01 
       1.935444470862e-01       2.812859852628e+01 
       2.000167793067e-01       2.673296357908e+01 
       2.067055540477e-01       2.508929683901e+01 
       2.136180287652e-01       2.331102245588e+01 
       2.207617681994e-01       2.158183620088e+01 
       2.281447121219e-01       2.006733942544e+01 
       2.357752543364e-01       1.884903238767e+01 
       2.436623343696e-01       1.789627192399e+01 
       2.518155435963e-01       1.708104939438e+01 
       2.602452479655e-01       1.624549774255e+01 
       2.689627300654e-01       1.529380050811e+01 
       2.779803540253e-01       1.424475860186e+01 
       2.873117577581e-01       1.321044782503e+01 
       2.969720783784e-01       1.230934972073e+01 
       3.069782183933e-01       1.157460599259e+01 
       3.173491626118e-01       1.094224843156e+01 
       3.281063588685e-01       1.031425426377e+01 
       3.392741799351e-01       9.639858177384e+00 
