# Matter power spectrum P(k) at redshift z=6
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055772783313e-05       2.334047536344e+00 
       1.329139185993e-05       2.536191081459e+00 
       1.673287097058e-05       2.961117406320e+00 
       2.106543647714e-05       3.445587407343e+00 
       2.651981329161e-05       4.199209464065e+00 
       3.338646686884e-05       5.039034871736e+00 
       4.203107155121e-05       6.176970722293e+00 
       5.291398406075e-05       7.646841262282e+00 
       6.661475917335e-05       9.496752229168e+00 
       8.386301312388e-05       1.175193347182e+01 
       1.055772783313e-04       1.461177958504e+01 
       1.329139185993e-04       1.817757769831e+01 
       1.673287097058e-04       2.261867816754e+01 
       2.106543647714e-04       2.818400673484e+01 
       2.651981329161e-04       3.511481276818e+01 
       3.338646686884e-04       4.375572689133e+01 
       4.203107155121e-04       5.451078820999e+01 
       5.291398406075e-04       6.787454604832e+01 
       6.661475917335e-04       8.443997031878e+01 
       8.386301312388e-04       1.049066930376e+02 
       1.055772783313e-03       1.300682893625e+02 
       1.329139185993e-03       1.607903777033e+02 
       1.673287097058e-03       1.979585046149e+02 
       2.106543647714e-03       2.424142382850e+02 
       2.651981329161e-03       2.948255123140e+02 
       3.338646686884e-03       3.554675152222e+02 
       4.203107155121e-03       4.239480578913e+02 
       5.291398406075e-03       4.988643255555e+02 
       6.661475917335e-03       5.773211916949e+02 
       8.386301312388e-03       6.544807661529e+02 
       1.055772783313e-02       7.229943667504e+02 
       1.329139185993e-02       7.728982557424e+02 
       1.673287097055e-02       7.921543371710e+02 
       2.106543630464e-02       7.688108793953e+02 
       2.651968288901e-02       6.972534262591e+02 
       3.336851896947e-02       5.883621424492e+02 
       4.143681699672e-02       4.793219428597e+02 
       4.823404509118e-02       4.165985764077e+02 
       5.316451176930e-02       3.854980460608e+02 
       5.723119236715e-02       3.659370355110e+02 
       6.086253476325e-02       3.510830499992e+02 
       6.424957644542e-02       3.380787153685e+02 
       6.749344715603e-02       3.254878756467e+02 
       7.065479183495e-02       3.125449133326e+02 
       7.377344927649e-02       2.988840670778e+02 
       7.687749830552e-02       2.844138556797e+02 
       7.998788894043e-02       2.692499615557e+02 
       8.312101603522e-02       2.536601282460e+02 
       8.629024436624e-02       2.380150148490e+02 
       8.950686006107e-02       2.227373223263e+02 
       9.278068955300e-02       2.082507443855e+02 
       9.612051638708e-02       1.949320941345e+02 
       9.953437002553e-02       1.830709365150e+02 
       1.030297307152e-01       1.728390109046e+02 
       1.066136776005e-01       1.642702959665e+02 
       1.102929974112e-01       1.572559059533e+02 
       1.140742651042e-01       1.515463586018e+02 
       1.179639041415e-01       1.467695905276e+02 
       1.219682317317e-01       1.424646165458e+02 
       1.260934928360e-01       1.381364177122e+02 
       1.303458857367e-01       1.333331995940e+02 
       1.347315812958e-01       1.277343461192e+02 
       1.392567375885e-01       1.212287835806e+02 
       1.439275113025e-01       1.139506656017e+02 
       1.487500670968e-01       1.062564204567e+02 
       1.537305859894e-01       9.864081130973e+01 
       1.588752737623e-01       9.161480300306e+01 
       1.641903703228e-01       8.557747584147e+01 
       1.696821609277e-01       8.071615406681e+01 
       1.753569901571e-01       7.695789294732e+01 
       1.812212795127e-01       7.398584370754e+01 
       1.872815495043e-01       7.134137776744e+01 
       1.935444470862e-01       6.851735155181e+01 
       2.000167793067e-01       6.513579765552e+01 
       2.067055540477e-01       6.115115849257e+01 
       2.136180287652e-01       5.683908801328e+01 
       2.207617681994e-01       5.264599665873e+01 
       2.281447121219e-01       4.897431848667e+01 
       2.357752543364e-01       4.602229144982e+01 
       2.436623343696e-01       4.371573745786e+01 
       2.518155435963e-01       4.174358933104e+01 
       2.602452479655e-01       3.972183856700e+01 
       2.689627300654e-01       3.741718119859e+01 
       2.779803540253e-01       3.487506555253e+01 
       2.873117577581e-01       3.236813343654e+01 
       2.969720783784e-01       3.018500550235e+01 
       3.069782183933e-01       2.840658312678e+01 
       3.173491626118e-01       2.687717390703e+01 
       3.281063588685e-01       2.535797818811e+01 
       3.392741799351e-01       2.372512563492e+01 
       3.508804898550e-01       2.206516613292e+01 
       3.629573460968e-01       2.054969631766e+01 
       3.755418804277e-01       1.924772767789e+01 
       3.886774179035e-01       1.806078756506e+01 
       4.024149174211e-01       1.686860424975e+01 
       4.168148529936e-01       1.567237677286e+01 
       4.319497090464e-01       1.455558484655e+01 
       4.479073469010e-01       1.354549258421e+01 
       4.647956327992e-01       1.258803288171e+01 
       4.827489350835e-01       1.164001233444e+01 
       5.019374634823e-01       1.073625992438e+01 
       5.225810589461e-01       9.895761250760e+00 
       5.449701910559e-01       9.077301805750e+00 
       5.694990879330e-01       8.284322038036e+00 
       5.967202222480e-01       7.524686712421e+00 
       6.274383917711e-01       6.778413196078e+00 
       6.628827694619e-01       6.046744020948e+00 
       7.050434828574e-01       5.316179549987e+00 
       7.573826324241e-01       4.576801046424e+00 
       8.264573875107e-01       3.811215762551e+00 
       9.257548230965e-01       3.002194793924e+00 
       1.082796239762e+00       2.158291226039e+00 
       1.332734404789e+00       1.395321263835e+00 
       1.675045845447e+00       8.697732584654e-01 
       2.108705412281e+00       5.486753142538e-01 
       2.654702635419e+00       3.538758382945e-01 
       3.342072608385e+00       2.346143805097e-01 
       4.207420134757e+00       1.603118228244e-01 
       5.296828125740e+00       1.127384594374e-01 
       6.668311529400e+00       8.113465957533e-02 
       8.394906838122e+00       5.921173664253e-02 
       1.056856154816e+01       4.337510126011e-02 
       1.330503069908e+01       3.159269989342e-02 
       1.675004125178e+01       2.271311410905e-02 
       2.108705258046e+01       1.603949537925e-02 
       2.654702635339e+01       1.109652660735e-02 
       3.342072608385e+01       7.512654388655e-03 
       4.207420134757e+01       4.977497945468e-03 
       5.296828125740e+01       3.229308411989e-03 
       6.668311529400e+01       2.053571084700e-03 
